zone,spin_bin,velocity_bin,total_pitches,swings,whiffs,barrels,hard_hits,sweet_spots,gbs,lds,fbs,batted_count,avg_xwoba,avg_ev,avg_la,swing_pct,whiff_pct,barrel_pct,hard_hit_pct,sweet_spot_pct,gb_pct,ld_pct,fb_pct
1,<1800,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,75-80,15,7,2,0,0,2,1,1,3,5,0.23583333333333334,75.38,41.2,46.7,28.6,0.0,0.0,40.0,20.0,20.0,60.0
1,<1800,80-85,20,9,1,0,3,3,4,3,1,8,0.2552083333333333,81.8625,0.0,45.0,11.1,0.0,37.5,37.5,50.0,37.5,12.5
1,<1800,85-90,7,5,0,0,2,3,1,2,2,5,0.4013333333333333,85.5,25.0,71.4,0.0,0.0,40.0,60.0,20.0,40.0,40.0
1,<1800,90-95,1,0,0,0,0,0,0,0,0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,75-80,2,1,0,0,0,0,0,0,1,1,,77.8,79.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1,1800-2000,80-85,9,6,0,0,2,4,1,3,2,6,0.763977777777778,91.93333333333334,28.333333333333332,66.7,0.0,0.0,33.3,66.7,16.7,50.0,33.3
1,1800-2000,85-90,8,4,1,0,0,0,2,0,0,2,0.39,81.30000000000001,-12.0,50.0,25.0,0.0,0.0,0.0,100.0,0.0,0.0
1,1800-2000,90-95,2,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2000-2200,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2000-2200,75-80,3,2,0,0,1,0,0,0,2,2,0.2145,84.8,43.5,66.7,0.0,0.0,50.0,0.0,0.0,0.0,100.0
1,2000-2200,80-85,10,1,0,0,0,1,0,1,0,1,0.282,90.0,10.0,10.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
1,2000-2200,85-90,6,1,0,0,0,0,0,0,1,1,,76.2,63.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1,2000-2200,90-95,1,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2000-2200,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2200-2400,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2200-2400,75-80,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2200-2400,80-85,5,2,0,0,0,1,1,1,0,2,0.5545,94.35,4.5,40.0,0.0,0.0,0.0,50.0,50.0,50.0,0.0
1,2200-2400,85-90,2,1,0,0,0,0,0,0,1,1,0.012,88.5,80.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1,2200-2400,90-95,1,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2200-2400,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2400-2600,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2400-2600,75-80,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
