zone,spin_bin,velocity_bin,total_pitches,swings,whiffs,barrels,hard_hits,sweet_spots,gbs,lds,fbs,batted_count,avg_xwoba,avg_ev,avg_la,swing_pct,whiff_pct,barrel_pct,hard_hit_pct,sweet_spot_pct,gb_pct,ld_pct,fb_pct
1,<1800,70-75,2,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,75-80,44,19,3,0,4,6,5,4,7,16,0.36772641666666667,84.38125,26.75,43.2,15.8,0.0,25.0,37.5,31.2,25.0,43.8
1,<1800,80-85,138,50,5,0,15,13,14,10,18,42,0.2061043010752688,84.19285714285714,22.5,36.2,10.0,0.0,35.7,31.0,33.3,23.8,42.9
1,<1800,85-90,66,20,1,0,1,4,7,2,8,17,0.19512380952380953,75.64117647058823,15.882352941176471,30.3,5.0,0.0,5.9,23.5,41.2,11.8,47.1
1,<1800,90-95,4,1,0,0,0,0,0,0,1,1,0.019,83.4,54.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1,<1800,95+,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,70-75,1,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,75-80,15,5,0,0,2,3,1,2,2,5,0.0225,85.62,18.8,33.3,0.0,0.0,40.0,60.0,20.0,40.0,40.0
1,1800-2000,80-85,34,10,0,0,4,2,6,1,3,10,0.31762962962962954,84.06,9.0,29.4,0.0,0.0,40.0,20.0,60.0,10.0,30.0
1,1800-2000,85-90,32,7,0,1,2,4,0,2,3,5,0.41578749999999987,90.72,25.2,21.9,0.0,20.0,40.0,80.0,0.0,40.0,60.0
1,1800-2000,90-95,1,1,0,1,1,1,0,0,1,1,1.600727272727273,104.5,29.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0
1,1800-2000,95+,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2000-2200,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2000-2200,75-80,3,2,0,0,1,2,0,0,2,2,0.4084444444444444,78.35,31.0,66.7,0.0,0.0,50.0,100.0,0.0,0.0,100.0
1,2000-2200,80-85,39,12,2,0,1,1,2,0,8,10,0.042333333333333334,73.72,41.7,30.8,16.7,0.0,10.0,10.0,20.0,0.0,80.0
1,2000-2200,85-90,21,6,3,0,0,0,2,0,1,3,0.031000000000000007,84.3,10.666666666666666,28.6,50.0,0.0,0.0,0.0,66.7,0.0,33.3
1,2000-2200,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2000-2200,95+,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2000-2200,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2200-2400,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2200-2400,75-80,1,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2200-2400,80-85,15,6,0,0,2,3,2,2,1,5,0.3926875,86.42,9.4,40.0,0.0,0.0,40.0,60.0,40.0,40.0,20.0
1,2200-2400,85-90,14,6,0,0,0,3,1,3,1,5,0.197,82.82000000000001,9.8,42.9,0.0,0.0,0.0,60.0,20.0,60.0,20.0
1,2200-2400,90-95,1,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2200-2400,95+,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2200-2400,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2400-2600,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2400-2600,75-80,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2400-2600,80-85,1,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2400-2600,85-90,1,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2400-2600,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2400-2600,95+,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2400-2600,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2600-2800,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2600-2800,75-80,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2600-2800,80-85,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2600-2800,85-90,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2600-2800,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2600-2800,95+,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2600-2800,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2800-3000,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2800-3000,75-80,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2800-3000,80-85,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2800-3000,85-90,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2800-3000,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
