zone,spin_bin,velocity_bin,total_pitches,swings,whiffs,barrels,hard_hits,sweet_spots,gbs,lds,fbs,batted_count,avg_xwoba,avg_ev,avg_la,swing_pct,whiff_pct,barrel_pct,hard_hit_pct,sweet_spot_pct,gb_pct,ld_pct,fb_pct
1,<1800,70-75,7,2,0,0,1,1,0,1,0,1,0.3695,95.7,11.0,28.6,0.0,0.0,100.0,100.0,0.0,100.0,0.0
1,<1800,75-80,151,79,10,1,23,19,19,11,37,67,0.3532074212639823,85.51940298507463,27.059701492537314,52.3,12.7,1.5,34.3,28.4,28.4,16.4,55.2
1,<1800,80-85,969,537,71,9,105,139,130,89,224,443,0.32510948081288654,82.76117381489841,24.525959367945823,55.4,13.2,2.0,23.7,31.4,29.3,20.1,50.6
1,<1800,85-90,1367,749,100,13,166,174,209,103,308,620,0.3247735061415599,84.19983870967742,20.32741935483871,54.8,13.4,2.1,26.8,28.1,33.7,16.6,49.7
1,<1800,90-95,164,103,12,1,22,26,25,12,49,86,0.2436206877128915,85.62209302325581,28.511627906976745,62.8,11.7,1.2,25.6,30.2,29.1,14.0,57.0
1,<1800,95+,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,<70,6,5,1,0,0,2,1,2,1,4,0.3544,86.875,21.25,83.3,20.0,0.0,0.0,50.0,25.0,50.0,25.0
1,1800-2000,70-75,5,2,1,0,0,1,0,1,0,1,,45.2,11.0,40.0,50.0,0.0,0.0,100.0,0.0,100.0,0.0
1,1800-2000,75-80,49,27,3,0,4,8,4,6,12,22,0.42862222222222224,79.30000000000001,29.318181818181817,55.1,11.1,0.0,18.2,36.4,18.2,27.3,54.5
1,1800-2000,80-85,318,192,24,3,31,46,46,29,82,157,0.30759864775848383,80.37770700636942,26.668789808917197,60.4,12.5,1.9,19.7,29.3,29.3,18.5,52.2
1,1800-2000,85-90,501,295,47,2,53,61,85,38,111,234,0.3308638501956071,83.0111111111111,21.072649572649574,58.9,15.9,0.9,22.6,26.1,36.3,16.2,47.4
1,1800-2000,90-95,92,51,9,0,11,17,7,11,22,40,0.3609376033936302,83.97749999999999,24.95,55.4,17.6,0.0,27.5,42.5,17.5,27.5,55.0
1,1800-2000,95+,1,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,<70,1,1,0,0,0,0,0,0,1,1,,57.7,49.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1,2000-2200,70-75,7,2,0,0,0,0,1,0,0,1,,71.9,-2.0,28.6,0.0,0.0,0.0,0.0,100.0,0.0,0.0
1,2000-2200,75-80,38,21,6,0,0,3,4,2,9,15,0.056571428571428564,69.48666666666666,25.333333333333332,55.3,28.6,0.0,0.0,20.0,26.7,13.3,60.0
1,2000-2200,80-85,242,136,21,2,26,30,36,13,59,108,0.29429834119839166,82.85370370370372,23.11111111111111,56.2,15.4,1.9,24.1,27.8,33.3,12.0,54.6
1,2000-2200,85-90,369,219,29,1,38,50,46,34,96,176,0.3243297845248649,83.05909090909091,26.352272727272727,59.3,13.2,0.6,21.6,28.4,26.1,19.3,54.5
1,2000-2200,90-95,82,41,7,1,12,12,9,8,16,33,0.42375843904689187,87.41818181818182,25.151515151515152,50.0,17.1,3.0,36.4,36.4,27.3,24.2,48.5
1,2000-2200,95+,2,1,0,0,1,0,1,0,0,1,0.444,102.4,2.0,50.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0
1,2000-2200,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2200-2400,70-75,1,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2200-2400,75-80,15,9,4,0,4,2,1,2,1,4,0.33799999999999997,96.975,15.75,60.0,44.4,0.0,100.0,50.0,25.0,50.0,25.0
1,2200-2400,80-85,89,59,10,1,9,18,10,13,21,44,0.2758679118867863,80.70227272727273,23.522727272727273,66.3,16.9,2.3,20.5,40.9,22.7,29.5,47.7
1,2200-2400,85-90,135,84,16,4,18,19,21,7,35,63,0.35855727207211385,81.93174603174603,22.555555555555557,62.2,19.0,6.3,28.6,30.2,33.3,11.1,55.6
1,2200-2400,90-95,29,25,4,0,2,3,9,3,5,17,0.2753846153846154,81.05882352941177,4.0588235294117645,86.2,16.0,0.0,11.8,17.6,52.9,17.6,29.4
1,2200-2400,95+,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2200-2400,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2400-2600,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2400-2600,75-80,9,5,1,0,0,0,2,0,1,3,0.094,81.36666666666666,14.0,55.6,20.0,0.0,0.0,0.0,66.7,0.0,33.3
1,2400-2600,80-85,31,13,2,1,4,3,3,1,7,11,0.33000769308469313,85.8,36.45454545454545,41.9,15.4,9.1,36.4,27.3,27.3,9.1,63.6
1,2400-2600,85-90,31,16,2,0,2,4,4,3,6,13,0.21650777685950418,83.53846153846153,15.23076923076923,51.6,12.5,0.0,15.4,30.8,30.8,23.1,46.2
1,2400-2600,90-95,1,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2400-2600,95+,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2400-2600,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2600-2800,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2600-2800,75-80,3,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2600-2800,80-85,10,2,1,0,0,0,0,0,1,1,0.0,71.9,54.0,20.0,50.0,0.0,0.0,0.0,0.0,0.0,100.0
1,2600-2800,85-90,3,3,1,0,0,0,0,0,2,2,0.0,83.15,54.5,100.0,33.3,0.0,0.0,0.0,0.0,0.0,100.0
1,2600-2800,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2600-2800,95+,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2600-2800,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2800-3000,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2800-3000,75-80,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
