zone,spin_bin,velocity_bin,total_pitches,swings,whiffs,barrels,hard_hits,sweet_spots,gbs,lds,fbs,batted_count,avg_xwoba,avg_ev,avg_la,swing_pct,whiff_pct,barrel_pct,hard_hit_pct,sweet_spot_pct,gb_pct,ld_pct,fb_pct
1,<1800,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,75-80,73,48,3,2,8,11,22,6,15,43,0.32911332022001144,79.64418604651162,15.395348837209303,65.8,6.2,4.7,18.6,25.6,51.2,14.0,34.9
1,<1800,80-85,353,228,17,6,51,52,65,33,102,200,0.2683190564059125,82.23450000000001,24.01,64.6,7.5,3.0,25.5,26.0,32.5,16.5,51.0
1,<1800,85-90,445,296,35,6,52,85,80,57,111,248,0.2635757793917313,79.81895161290322,21.725806451612904,66.5,11.8,2.4,21.0,34.3,32.3,23.0,44.8
1,<1800,90-95,66,46,3,0,9,11,24,6,13,43,0.2795728250244379,83.94186046511628,10.976744186046512,69.7,6.5,0.0,20.9,25.6,55.8,14.0,30.2
1,<1800,95+,2,1,0,0,0,0,1,0,0,1,0.225,85.6,0.0,50.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
1,<1800,<70,2,2,0,0,0,0,0,0,2,2,0.005,66.0,70.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1,1800-2000,70-75,2,1,0,0,0,0,0,0,1,1,0.0,59.3,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1,1800-2000,75-80,22,14,0,1,2,3,2,1,9,12,0.34082323232323225,77.20833333333333,40.0,63.6,0.0,8.3,16.7,25.0,16.7,8.3,75.0
1,1800-2000,80-85,115,82,10,2,16,21,16,14,36,66,0.3830474032634033,78.68636363636364,26.272727272727273,71.3,12.2,3.0,24.2,31.8,24.2,21.2,54.5
1,1800-2000,85-90,144,103,13,0,16,22,33,16,35,84,0.21781791646891313,81.075,20.345238095238095,71.5,12.6,0.0,19.0,26.2,39.3,19.0,41.7
1,1800-2000,90-95,32,23,0,2,5,5,10,2,9,21,0.39492054329371823,81.79047619047618,13.047619047619047,71.9,0.0,9.5,23.8,23.8,47.6,9.5,42.9
