zone,spin_bin,velocity_bin,total_pitches,swings,whiffs,barrels,hard_hits,sweet_spots,gbs,lds,fbs,batted_count,avg_xwoba,avg_ev,avg_la,swing_pct,whiff_pct,barrel_pct,hard_hit_pct,sweet_spot_pct,gb_pct,ld_pct,fb_pct
1,<1800,70-75,1,1,0,0,0,0,1,0,0,1,0.053,67.2,-27.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
1,<1800,75-80,5,3,0,0,0,0,1,0,2,3,0.0095,82.96666666666667,30.0,60.0,0.0,0.0,0.0,0.0,33.3,0.0,66.7
1,<1800,80-85,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,85-90,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,70-75,2,1,0,0,0,1,0,1,0,1,0.212,94.1,24.0,50.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
1,1800-2000,75-80,11,4,0,0,0,1,2,0,1,3,0.1285,85.13333333333334,-8.666666666666666,36.4,0.0,0.0,0.0,33.3,66.7,0.0,33.3
1,1800-2000,80-85,2,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,85-90,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2000-2200,70-75,1,1,0,0,0,0,0,0,1,1,0.022,89.0,55.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1,2000-2200,75-80,14,3,0,0,2,1,1,1,1,3,0.3593333333333333,89.7,24.0,21.4,0.0,0.0,66.7,33.3,33.3,33.3,33.3
1,2000-2200,80-85,13,4,1,0,0,1,0,1,1,2,0.694,78.9,32.5,30.8,25.0,0.0,0.0,50.0,0.0,50.0,50.0
1,2000-2200,85-90,1,1,1,0,0,0,0,0,0,0,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2000-2200,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2200-2400,70-75,12,6,2,0,1,1,0,1,3,4,0.32233333333333336,85.075,41.75,50.0,33.3,0.0,25.0,25.0,0.0,25.0,75.0
1,2200-2400,75-80,42,16,0,0,2,3,3,1,11,15,0.27394405594405596,79.75333333333333,35.4,38.1,0.0,0.0,13.3,20.0,20.0,6.7,73.3
1,2200-2400,80-85,24,6,2,0,2,0,1,0,3,4,0.18258333333333332,89.475,31.25,25.0,33.3,0.0,50.0,0.0,25.0,0.0,75.0
1,2200-2400,85-90,1,0,0,0,0,0,0,0,0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2200-2400,<70,1,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2400-2600,70-75,16,7,0,0,1,1,1,1,4,6,0.20033333333333334,85.73333333333333,33.5,43.8,0.0,0.0,16.7,16.7,16.7,16.7,66.7
1,2400-2600,75-80,44,14,5,2,4,5,2,2,5,9,0.3778115079365079,83.04444444444444,19.555555555555557,31.8,35.7,22.2,44.4,55.6,22.2,22.2,55.6
1,2400-2600,80-85,30,11,1,0,3,2,2,2,6,10,0.30464545833333334,81.25,29.1,36.7,9.1,0.0,30.0,20.0,20.0,20.0,60.0
1,2400-2600,85-90,3,1,1,0,0,0,0,0,0,0,0.0,,,33.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2400-2600,<70,2,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2600-2800,70-75,29,12,1,0,1,2,5,2,4,11,0.38585714285714284,75.78181818181818,-0.45454545454545453,41.4,8.3,0.0,9.1,18.2,45.5,18.2,36.4
1,2600-2800,75-80,32,11,1,1,3,5,3,2,5,10,0.29953580246913575,80.95,26.8,34.4,9.1,10.0,30.0,50.0,30.0,20.0,50.0
1,2600-2800,80-85,18,12,4,0,1,1,4,0,3,7,0.14516666666666667,80.68571428571428,25.142857142857142,66.7,33.3,0.0,14.3,14.3,57.1,0.0,42.9
1,2600-2800,85-90,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2600-2800,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2800-3000,70-75,4,1,0,0,0,1,0,0,1,1,0.768,64.5,26.0,25.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0
1,2800-3000,75-80,18,7,1,0,4,1,5,1,0,6,0.414,90.41666666666667,-8.333333333333334,38.9,14.3,0.0,66.7,16.7,83.3,16.7,0.0
1,2800-3000,80-85,6,4,0,0,1,1,2,1,1,4,0.38599999999999995,80.45,0.5,66.7,0.0,0.0,25.0,25.0,50.0,25.0,25.0
1,2800-3000,85-90,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2800-3000,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3000-3200,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3000-3200,75-80,1,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3000-3200,80-85,1,0,0,0,0,0,0,0,0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3000-3200,85-90,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3000-3200,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3200+,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3200+,75-80,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3200+,80-85,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3200+,85-90,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3200+,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,<1800,70-75,3,1,0,0,1,0,0,0,1,1,,95.8,37.0,33.3,0.0,0.0,100.0,0.0,0.0,0.0,100.0
2,<1800,75-80,2,2,0,0,1,1,0,1,0,1,0.367,99.0,20.0,100.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0
2,<1800,80-85,2,1,0,0,0,0,1,0,0,1,0.28,89.3,2.0,50.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2,<1800,85-90,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,<1800,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1800-2000,70-75,3,1,0,0,0,1,0,1,0,1,0.0,87.4,24.0,33.3,0.0,0.0,0.0,100.0,0.0,100.0,0.0
2,1800-2000,75-80,22,12,2,0,4,4,5,2,3,10,0.35506493506493503,84.33,7.0,54.5,16.7,0.0,40.0,40.0,50.0,20.0,30.0
2,1800-2000,80-85,1,1,0,0,0,0,1,0,0,1,,63.5,-43.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2,1800-2000,85-90,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1800-2000,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2000-2200,70-75,9,7,1,0,1,1,2,1,3,6,0.23566666666666666,73.53333333333333,9.833333333333334,77.8,14.3,0.0,16.7,16.7,33.3,16.7,50.0
2,2000-2200,75-80,45,22,2,1,5,10,2,6,12,20,0.593017094017094,78.255,26.65,48.9,9.1,5.0,25.0,50.0,10.0,30.0,60.0
2,2000-2200,80-85,14,8,0,0,0,2,2,1,5,8,0.1215,77.5375,31.625,57.1,0.0,0.0,0.0,25.0,25.0,12.5,62.5
2,2000-2200,85-90,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2000-2200,<70,3,0,0,0,0,0,0,0,0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2200-2400,70-75,32,11,0,0,4,5,3,3,5,11,0.3833723958333334,85.32727272727273,23.636363636363637,34.4,0.0,0.0,36.4,45.5,27.3,27.3,45.5
2,2200-2400,75-80,77,31,3,1,13,12,8,7,11,26,0.42158598025172667,89.14230769230768,21.76923076923077,40.3,9.7,3.8,50.0,46.2,30.8,26.9,42.3
2,2200-2400,80-85,47,25,3,2,7,8,7,5,10,22,0.32103865248226954,87.25,22.045454545454547,53.2,12.0,9.1,31.8,36.4,31.8,22.7,45.5
2,2200-2400,85-90,2,1,0,0,0,0,0,0,1,1,0.0055,83.7,45.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2,2200-2400,<70,2,1,0,0,1,1,0,1,0,1,0.452,101.4,20.0,50.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0
2,2400-2600,70-75,41,12,1,0,3,1,4,1,4,9,0.1704,78.13333333333334,8.666666666666666,29.3,8.3,0.0,33.3,11.1,44.4,11.1,44.4
2,2400-2600,75-80,62,31,3,0,4,7,7,5,13,25,0.19014285714285714,80.788,22.8,50.0,9.7,0.0,16.0,28.0,28.0,20.0,52.0
2,2400-2600,80-85,43,24,2,0,3,4,5,2,13,20,0.18442857142857141,80.975,31.15,55.8,8.3,0.0,15.0,20.0,25.0,10.0,65.0
2,2400-2600,85-90,2,1,1,0,0,0,0,0,0,0,0.0,,,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2400-2600,<70,5,1,0,0,0,0,1,0,0,1,,73.2,-34.0,20.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2,2600-2800,70-75,19,6,1,0,3,2,1,2,2,5,0.5916266666666667,96.46000000000001,22.4,31.6,16.7,0.0,60.0,40.0,20.0,40.0,40.0
2,2600-2800,75-80,45,18,2,0,3,1,4,1,10,15,0.10588235294117647,85.10666666666665,33.86666666666667,40.0,11.1,0.0,20.0,6.7,26.7,6.7,66.7
2,2600-2800,80-85,28,14,2,0,1,4,2,4,6,12,0.15841666666666668,75.94166666666666,28.333333333333332,50.0,14.3,0.0,8.3,33.3,16.7,33.3,50.0
2,2600-2800,85-90,2,2,0,0,2,1,0,0,2,2,0.5273333333333333,100.6,35.5,100.0,0.0,0.0,100.0,50.0,0.0,0.0,100.0
2,2600-2800,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2800-3000,70-75,5,1,0,1,1,1,0,0,1,1,0.6275357142857141,98.1,26.0,20.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0
2,2800-3000,75-80,22,8,1,0,1,1,5,1,0,6,0.191625,78.7,-13.666666666666666,36.4,12.5,0.0,16.7,16.7,83.3,16.7,0.0
2,2800-3000,80-85,12,6,0,0,0,1,5,1,0,6,0.16975,69.5,-36.833333333333336,50.0,0.0,0.0,0.0,16.7,83.3,16.7,0.0
