zone,spin_bin,velocity_bin,total_pitches,swings,whiffs,barrels,hard_hits,sweet_spots,gbs,lds,fbs,batted_count,avg_xwoba,avg_ev,avg_la,swing_pct,whiff_pct,barrel_pct,hard_hit_pct,sweet_spot_pct,gb_pct,ld_pct,fb_pct
1,<1800,70-75,1,1,0,0,0,0,1,0,0,1,0.373,94.4,1.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
1,<1800,75-80,5,2,0,0,0,0,2,0,0,2,0.075,77.05000000000001,-5.0,40.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
1,<1800,80-85,2,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,85-90,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,<70,1,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,70-75,7,2,0,0,0,2,0,1,1,2,0.367,70.05,27.5,28.6,0.0,0.0,0.0,100.0,0.0,50.0,50.0
1,1800-2000,75-80,20,8,0,0,1,4,1,2,5,8,0.28700000000000003,70.3,22.625,40.0,0.0,0.0,12.5,50.0,12.5,25.0,62.5
1,1800-2000,80-85,6,3,0,0,0,0,0,0,3,3,,68.5,66.66666666666667,50.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1,1800-2000,85-90,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2000-2200,70-75,14,4,0,0,0,1,2,1,1,4,0.205,73.125,4.5,28.6,0.0,0.0,0.0,25.0,50.0,25.0,25.0
1,2000-2200,75-80,50,17,0,0,4,10,4,5,8,17,0.3975553168635875,83.25882352941177,15.882352941176471,34.0,0.0,0.0,23.5,58.8,23.5,29.4,47.1
1,2000-2200,80-85,19,9,1,0,4,2,3,0,5,8,0.20850000000000002,87.5625,26.375,47.4,11.1,0.0,50.0,25.0,37.5,0.0,62.5
1,2000-2200,85-90,1,1,0,0,0,1,0,0,1,1,,65.2,29.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0
1,2000-2200,<70,1,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2200-2400,70-75,35,10,2,0,0,3,4,2,1,7,0.24820000000000003,78.12857142857142,11.857142857142858,28.6,20.0,0.0,0.0,42.9,57.1,28.6,14.3
1,2200-2400,75-80,88,21,0,0,5,8,2,4,14,20,0.31553846153846155,78.35499999999999,32.5,23.9,0.0,0.0,25.0,40.0,10.0,20.0,70.0
1,2200-2400,80-85,56,28,1,0,2,6,11,3,12,26,0.27912757201646093,76.59615384615384,19.423076923076923,50.0,3.6,0.0,7.7,23.1,42.3,11.5,46.2
1,2200-2400,85-90,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2200-2400,<70,2,1,0,0,0,0,0,0,1,1,0.0,70.5,81.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1,2400-2600,70-75,79,26,1,0,2,9,8,6,9,23,0.2075,76.84782608695652,18.47826086956522,32.9,3.8,0.0,8.7,39.1,34.8,26.1,39.1
1,2400-2600,75-80,90,36,2,0,1,10,8,7,16,31,0.27452173913043476,72.95161290322581,21.967741935483872,40.0,5.6,0.0,3.2,32.3,25.8,22.6,51.6
1,2400-2600,80-85,49,19,1,2,4,6,6,2,10,18,0.32041460439560443,77.52222222222223,31.666666666666668,38.8,5.3,11.1,22.2,33.3,33.3,11.1,55.6
1,2400-2600,85-90,1,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2400-2600,<70,8,4,0,0,0,0,3,0,1,4,0.0598,79.875,-9.0,50.0,0.0,0.0,0.0,0.0,75.0,0.0,25.0
1,2600-2800,70-75,60,27,0,1,7,4,19,1,6,26,0.17772222222222223,83.06923076923077,6.038461538461538,45.0,0.0,3.8,26.9,15.4,73.1,3.8,23.1
1,2600-2800,75-80,82,37,2,0,7,13,13,9,12,34,0.25713286713286715,79.24411764705883,12.176470588235293,45.1,5.4,0.0,20.6,38.2,38.2,26.5,35.3
1,2600-2800,80-85,44,23,0,0,1,2,12,2,9,23,0.2069794245614035,70.6608695652174,4.217391304347826,52.3,0.0,0.0,4.3,8.7,52.2,8.7,39.1
1,2600-2800,85-90,2,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2600-2800,<70,2,1,0,0,0,0,1,0,0,1,0.114,71.2,1.0,50.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
1,2800-3000,70-75,14,6,0,0,2,3,3,1,1,5,0.295,78.97999999999999,1.0,42.9,0.0,0.0,40.0,60.0,60.0,20.0,20.0
1,2800-3000,75-80,34,14,0,0,1,3,7,3,4,14,0.23754545454545453,73.14999999999999,7.428571428571429,41.2,0.0,0.0,7.1,21.4,50.0,21.4,28.6
1,2800-3000,80-85,12,6,2,0,1,2,1,1,2,4,0.35966666666666663,75.075,12.25,50.0,33.3,0.0,25.0,50.0,25.0,25.0,50.0
1,2800-3000,85-90,1,0,0,0,0,0,0,0,0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2800-3000,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3000-3200,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3000-3200,75-80,7,2,0,0,0,0,1,0,1,2,0.0565,65.85,20.5,28.6,0.0,0.0,0.0,0.0,50.0,0.0,50.0
1,3000-3200,80-85,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3000-3200,85-90,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
