zone,spin_bin,velocity_bin,total_pitches,swings,whiffs,barrels,hard_hits,sweet_spots,gbs,lds,fbs,batted_count,avg_xwoba,avg_ev,avg_la,swing_pct,whiff_pct,barrel_pct,hard_hit_pct,sweet_spot_pct,gb_pct,ld_pct,fb_pct
1,<1800,70-75,7,1,0,0,1,1,0,0,1,1,0.4684666666666665,95.9,30.0,14.3,0.0,0.0,100.0,100.0,0.0,0.0,100.0
1,<1800,75-80,17,7,3,0,0,1,1,1,2,4,0.05620000000000001,82.0,29.75,41.2,42.9,0.0,0.0,25.0,25.0,25.0,50.0
1,<1800,80-85,9,4,1,0,0,1,0,1,2,3,0.0055,83.33333333333333,45.0,44.4,25.0,0.0,0.0,33.3,0.0,33.3,66.7
1,<1800,85-90,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,<70,2,2,0,0,0,1,0,1,1,2,0.083,91.44999999999999,35.0,100.0,0.0,0.0,0.0,50.0,0.0,50.0,50.0
1,1800-2000,70-75,32,10,0,0,2,4,1,2,6,9,0.34689333333333333,80.44444444444444,39.666666666666664,31.2,0.0,0.0,22.2,44.4,11.1,22.2,66.7
1,1800-2000,75-80,65,15,3,0,1,3,3,1,8,12,0.14155555555555555,83.78333333333333,31.0,23.1,20.0,0.0,8.3,25.0,25.0,8.3,66.7
1,1800-2000,80-85,25,9,2,0,3,4,0,4,3,7,0.3668804347826088,90.81428571428572,35.714285714285715,36.0,22.2,0.0,42.9,57.1,0.0,57.1,42.9
1,1800-2000,85-90,1,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,<70,2,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2000-2200,70-75,76,15,2,0,2,2,3,2,5,10,0.16865000000000002,80.92999999999999,12.7,19.7,13.3,0.0,20.0,20.0,30.0,20.0,50.0
1,2000-2200,75-80,156,48,7,0,9,13,12,7,20,39,0.3481291208791209,84.45641025641027,26.94871794871795,30.8,14.6,0.0,23.1,33.3,30.8,17.9,51.3
1,2000-2200,80-85,66,14,2,0,3,4,4,2,5,11,0.2584444444444445,83.24545454545455,26.363636363636363,21.2,14.3,0.0,27.3,36.4,36.4,18.2,45.5
1,2000-2200,85-90,3,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2000-2200,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2000-2200,<70,10,4,1,1,1,1,0,0,3,3,0.8101315789473685,85.46666666666665,47.333333333333336,40.0,25.0,33.3,33.3,33.3,0.0,0.0,100.0
1,2200-2400,70-75,149,24,1,2,6,8,5,4,11,20,0.2532994374048706,85.91499999999999,30.0,16.1,4.2,10.0,30.0,40.0,25.0,20.0,55.0
1,2200-2400,75-80,343,80,14,2,9,17,20,9,31,60,0.1839034743136562,81.04666666666667,19.216666666666665,23.3,17.5,3.3,15.0,28.3,33.3,15.0,51.7
1,2200-2400,80-85,183,45,9,1,10,13,6,9,18,33,0.2889912088615991,86.2,27.0,24.6,20.0,3.0,30.3,39.4,18.2,27.3,54.5
