zone,spin_bin,velocity_bin,total_pitches,swings,whiffs,barrels,hard_hits,sweet_spots,gbs,lds,fbs,batted_count,avg_xwoba,avg_ev,avg_la,swing_pct,whiff_pct,barrel_pct,hard_hit_pct,sweet_spot_pct,gb_pct,ld_pct,fb_pct
1,<1800,70-75,5,2,0,0,1,1,0,0,2,2,,80.5,58.5,40.0,0.0,0.0,50.0,50.0,0.0,0.0,100.0
1,<1800,75-80,11,3,0,0,1,1,1,1,1,3,,75.33333333333333,12.0,27.3,0.0,0.0,33.3,33.3,33.3,33.3,33.3
1,<1800,80-85,5,1,0,0,0,0,0,0,1,1,0.0205,79.6,60.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1,<1800,85-90,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,<70,7,4,0,0,0,2,1,2,1,4,0.35200000000000004,88.85,23.5,57.1,0.0,0.0,0.0,50.0,25.0,50.0,25.0
1,1800-2000,70-75,13,7,2,1,1,2,2,1,2,5,0.1065,71.1,6.0,53.8,28.6,20.0,20.0,40.0,40.0,20.0,40.0
1,1800-2000,75-80,34,13,2,0,0,4,3,2,6,11,0.33901637500000004,70.87272727272727,25.454545454545453,38.2,15.4,0.0,0.0,36.4,27.3,18.2,54.5
1,1800-2000,80-85,25,11,2,0,2,3,1,3,5,9,0.3712936507936508,79.85555555555555,32.333333333333336,44.0,18.2,0.0,22.2,33.3,11.1,33.3,55.6
1,1800-2000,85-90,2,1,0,0,0,1,0,0,1,1,0.417,76.4,28.0,50.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0
1,1800-2000,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2000-2200,70-75,44,14,5,0,3,2,4,1,4,9,0.17925,80.3111111111111,17.666666666666668,31.8,35.7,0.0,33.3,22.2,44.4,11.1,44.4
1,2000-2200,75-80,93,34,1,0,8,10,11,3,16,30,0.33994206845785796,83.53666666666666,22.0,36.6,2.9,0.0,26.7,33.3,36.7,10.0,53.3
1,2000-2200,80-85,46,21,3,0,5,4,8,3,6,17,0.272420390070922,76.04117647058824,9.647058823529411,45.7,14.3,0.0,29.4,23.5,47.1,17.6,35.3
