zone,spin_bin,velocity_bin,total_pitches,swings,whiffs,barrels,hard_hits,sweet_spots,gbs,lds,fbs,batted_count,avg_xwoba,avg_ev,avg_la,swing_pct,whiff_pct,barrel_pct,hard_hit_pct,sweet_spot_pct,gb_pct,ld_pct,fb_pct
1,<1800,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,75-80,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,80-85,1,1,1,0,0,0,0,0,0,0,,,,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,85-90,1,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,95+,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,75-80,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,80-85,12,7,3,0,1,0,2,0,2,4,0.11466666666666665,76.575,20.25,58.3,42.9,0.0,25.0,0.0,50.0,0.0,50.0
1,1800-2000,85-90,20,7,0,0,1,2,1,2,3,6,0.371,81.7,35.5,35.0,0.0,0.0,16.7,33.3,16.7,33.3,50.0
1,1800-2000,90-95,2,2,0,0,1,1,1,1,0,2,,84.55,-5.0,100.0,0.0,0.0,50.0,50.0,50.0,50.0,0.0
1,1800-2000,95+,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2000-2200,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2000-2200,75-80,3,2,0,0,1,0,0,0,2,2,0.13,86.15,39.0,66.7,0.0,0.0,50.0,0.0,0.0,0.0,100.0
1,2000-2200,80-85,51,25,5,0,2,1,2,1,17,20,0.07231410256410256,82.55,43.0,49.0,20.0,0.0,10.0,5.0,10.0,5.0,85.0
1,2000-2200,85-90,107,50,8,0,7,9,6,5,26,37,0.22698604651162788,81.72972972972973,35.37837837837838,46.7,16.0,0.0,18.9,24.3,16.2,13.5,70.3
1,2000-2200,90-95,22,14,1,1,3,7,4,3,6,13,0.7039327731092436,84.14615384615385,8.461538461538462,63.6,7.1,7.7,23.1,53.8,30.8,23.1,46.2
1,2000-2200,95+,1,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2200-2400,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2200-2400,75-80,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2200-2400,80-85,63,31,6,0,5,6,7,3,14,24,0.19772727272727272,75.77083333333333,30.416666666666668,49.2,19.4,0.0,20.8,25.0,29.2,12.5,58.3
1,2200-2400,85-90,195,119,23,1,16,30,23,15,50,88,0.300693969663337,80.30795454545455,23.829545454545453,61.0,19.3,1.1,18.2,34.1,26.1,17.0,56.8
1,2200-2400,90-95,39,24,5,1,4,6,7,3,6,16,0.33976923076923077,83.1,12.375,61.5,20.8,6.2,25.0,37.5,43.8,18.8,37.5
1,2200-2400,95+,1,1,0,0,0,0,0,0,1,1,,83.2,58.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1,2400-2600,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2400-2600,75-80,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2400-2600,80-85,24,8,2,0,0,1,1,0,5,6,0.08366666666666667,77.21666666666667,34.0,33.3,25.0,0.0,0.0,16.7,16.7,0.0,83.3
1,2400-2600,85-90,143,79,19,1,12,19,10,13,28,51,0.24841555208333332,83.03333333333333,29.901960784313726,55.2,24.1,2.0,23.5,37.3,19.6,25.5,54.9
1,2400-2600,90-95,36,21,6,0,2,7,4,3,7,14,0.18519999999999998,83.29285714285713,27.0,58.3,28.6,0.0,14.3,50.0,28.6,21.4,50.0
1,2400-2600,95+,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2600-2800,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2600-2800,75-80,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2600-2800,80-85,11,4,1,0,0,2,0,1,2,3,0.0,71.3,33.333333333333336,36.4,25.0,0.0,0.0,66.7,0.0,33.3,66.7
1,2600-2800,85-90,46,27,6,0,4,7,4,4,10,18,0.3224010989010989,82.53333333333333,24.0,58.7,22.2,0.0,22.2,38.9,22.2,22.2,55.6
1,2600-2800,90-95,24,16,6,0,0,3,1,2,6,9,0.2994995714285715,79.11111111111111,37.77777777777778,66.7,37.5,0.0,0.0,33.3,11.1,22.2,66.7
1,2600-2800,95+,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2800-3000,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2800-3000,75-80,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2800-3000,80-85,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2800-3000,85-90,3,2,1,0,0,1,0,1,0,1,,81.6,10.0,66.7,50.0,0.0,0.0,100.0,0.0,100.0,0.0
1,2800-3000,90-95,4,3,2,0,0,0,0,0,1,1,0.230499,71.0,35.0,75.0,66.7,0.0,0.0,0.0,0.0,0.0,100.0
1,2800-3000,95+,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3000-3200,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3000-3200,75-80,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3000-3200,80-85,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3000-3200,85-90,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3000-3200,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3000-3200,95+,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3200+,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3200+,75-80,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3200+,80-85,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3200+,85-90,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3200+,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3200+,95+,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,<1800,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,<1800,75-80,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,<1800,80-85,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,<1800,85-90,2,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,<1800,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,<1800,95+,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1800-2000,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1800-2000,75-80,3,3,0,0,0,0,0,0,3,3,0.005,72.2,54.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2,1800-2000,80-85,27,17,5,0,4,3,1,3,8,12,0.4629278656126482,84.16666666666667,42.0,63.0,29.4,0.0,33.3,25.0,8.3,25.0,66.7
2,1800-2000,85-90,32,18,5,0,3,4,3,2,7,12,0.3065,83.89999999999999,26.333333333333332,56.2,27.8,0.0,25.0,33.3,25.0,16.7,58.3
2,1800-2000,90-95,2,1,0,0,1,1,0,1,0,1,0.489,100.3,20.0,50.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0
2,1800-2000,95+,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2000-2200,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2000-2200,75-80,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2000-2200,80-85,58,36,5,2,7,7,2,5,20,27,0.3752542935363248,86.02592592592592,42.18518518518518,62.1,13.9,7.4,25.9,25.9,7.4,18.5,74.1
2,2000-2200,85-90,101,67,12,0,7,11,11,7,32,50,0.15412467532467533,81.46,34.26,66.3,17.9,0.0,14.0,22.0,22.0,14.0,64.0
2,2000-2200,90-95,19,13,2,0,1,6,1,4,5,10,0.25971428571428573,81.62,28.0,68.4,15.4,0.0,10.0,60.0,10.0,40.0,50.0
2,2000-2200,95+,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2200-2400,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2200-2400,75-80,1,1,0,0,0,0,0,0,1,1,0.0,91.5,47.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2,2200-2400,80-85,75,52,8,0,14,14,9,8,24,41,0.3952884920634921,82.81951219512194,31.341463414634145,69.3,15.4,0.0,34.1,34.1,22.0,19.5,58.5
2,2200-2400,85-90,198,120,21,0,16,17,15,11,63,89,0.19165212765957446,81.96966292134832,38.674157303370784,60.6,17.5,0.0,18.0,19.1,16.9,12.4,70.8
2,2200-2400,90-95,47,38,8,1,7,9,5,4,20,29,0.43248800000000004,84.48965517241379,32.86206896551724,80.9,21.1,3.4,24.1,31.0,17.2,13.8,69.0
2,2200-2400,95+,1,1,0,0,0,0,0,0,1,1,,72.3,37.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2,2400-2600,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2400-2600,75-80,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2400-2600,80-85,30,18,2,1,6,9,3,7,4,14,0.4628081632653061,86.32857142857142,20.285714285714285,60.0,11.1,7.1,42.9,64.3,21.4,50.0,28.6
