zone,spin_bin,velocity_bin,total_pitches,swings,whiffs,barrels,hard_hits,sweet_spots,gbs,lds,fbs,batted_count,avg_xwoba,avg_ev,avg_la,swing_pct,whiff_pct,barrel_pct,hard_hit_pct,sweet_spot_pct,gb_pct,ld_pct,fb_pct
1,<1800,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,75-80,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,80-85,4,4,0,0,0,0,2,0,2,4,0.133,74.125,20.25,100.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0
1,<1800,85-90,7,5,0,0,1,2,2,2,1,5,0.26090625,78.76,13.8,71.4,0.0,0.0,20.0,40.0,40.0,40.0,20.0
1,<1800,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,95+,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,75-80,2,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,80-85,63,41,4,1,6,13,8,6,19,33,0.4059300770308123,79.66666666666667,28.151515151515152,65.1,9.8,3.0,18.2,39.4,24.2,18.2,57.6
1,1800-2000,85-90,169,127,14,2,19,31,37,21,48,106,0.27127033819620355,80.18018867924529,22.556603773584907,75.1,11.0,1.9,17.9,29.2,34.9,19.8,45.3
1,1800-2000,90-95,7,6,0,0,0,1,2,1,3,6,0.0924,71.35000000000001,28.5,85.7,0.0,0.0,0.0,16.7,33.3,16.7,50.0
1,1800-2000,95+,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2000-2200,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2000-2200,75-80,11,5,0,0,1,1,0,1,3,4,0.009,78.7,38.75,45.5,0.0,0.0,25.0,25.0,0.0,25.0,75.0
1,2000-2200,80-85,200,132,15,2,15,39,12,24,69,105,0.2555707407407407,75.64380952380952,36.46666666666667,66.0,11.4,1.9,14.3,37.1,11.4,22.9,65.7
1,2000-2200,85-90,528,382,49,5,52,100,78,61,174,313,0.31585888659427874,77.03769968051118,28.047923322683705,72.3,12.8,1.6,16.6,31.9,24.9,19.5,55.6
1,2000-2200,90-95,85,60,3,1,7,17,21,12,19,52,0.2980180623973727,79.72307692307693,12.653846153846153,70.6,5.0,1.9,13.5,32.7,40.4,23.1,36.5
1,2000-2200,95+,1,1,1,0,0,0,0,0,0,0,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2200-2400,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2200-2400,75-80,1,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2200-2400,80-85,208,135,18,1,10,29,22,17,70,109,0.23440368852459015,73.05688073394495,30.01834862385321,64.9,13.3,0.9,9.2,26.6,20.2,15.6,64.2
1,2200-2400,85-90,836,613,70,5,82,171,135,100,270,504,0.2977072337225048,77.99563492063493,27.423762376237622,73.3,11.4,1.0,16.3,33.9,26.8,19.8,53.6
1,2200-2400,90-95,205,155,22,2,21,42,44,26,57,127,0.3094502391661312,77.31259842519685,20.763779527559056,75.6,14.2,1.6,16.5,33.1,34.6,20.5,44.9
1,2200-2400,95+,14,11,1,0,2,2,5,1,4,10,0.41125,81.35,9.1,78.6,9.1,0.0,20.0,20.0,50.0,10.0,40.0
1,2400-2600,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2400-2600,75-80,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2400-2600,80-85,63,42,8,0,2,12,5,5,19,29,0.2016,73.02413793103447,33.03448275862069,66.7,19.0,0.0,6.9,41.4,17.2,17.2,65.5
1,2400-2600,85-90,503,360,61,3,37,77,66,54,152,272,0.2649818984973629,75.96911764705882,30.363970588235293,71.6,16.9,1.1,13.6,28.3,24.3,19.9,55.9
1,2400-2600,90-95,126,92,10,0,8,28,30,14,32,76,0.2378233809924306,77.10394736842105,17.80263157894737,73.0,10.9,0.0,10.5,36.8,39.5,18.4,42.1
1,2400-2600,95+,2,2,1,0,0,0,1,0,0,1,0.0555,72.3,2.0,100.0,50.0,0.0,0.0,0.0,100.0,0.0,0.0
1,2600-2800,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2600-2800,75-80,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2600-2800,80-85,6,5,1,0,0,2,0,2,1,3,0.156,60.1,26.0,83.3,20.0,0.0,0.0,66.7,0.0,66.7,33.3
1,2600-2800,85-90,116,81,9,3,13,25,13,13,43,69,0.4045636740146464,78.6086956521739,31.82608695652174,69.8,11.1,4.3,18.8,36.2,18.8,18.8,62.3
1,2600-2800,90-95,55,48,9,0,5,14,4,8,23,35,0.29375438596491227,78.15714285714286,33.05714285714286,87.3,18.8,0.0,14.3,40.0,11.4,22.9,65.7
1,2600-2800,95+,1,1,0,0,0,0,0,0,1,1,0.44,71.0,38.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1,2800-3000,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2800-3000,75-80,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2800-3000,80-85,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2800-3000,85-90,7,7,0,0,0,2,1,2,3,6,0.005,80.56666666666666,32.833333333333336,100.0,0.0,0.0,0.0,33.3,16.7,33.3,50.0
1,2800-3000,90-95,7,7,1,0,0,0,3,0,3,6,0.0825,68.76666666666667,21.333333333333332,100.0,14.3,0.0,0.0,0.0,50.0,0.0,50.0
1,2800-3000,95+,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3000-3200,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3000-3200,75-80,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3000-3200,80-85,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3000-3200,85-90,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3000-3200,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3000-3200,95+,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3200+,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3200+,75-80,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3200+,80-85,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3200+,85-90,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3200+,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3200+,95+,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,<1800,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,<1800,75-80,1,1,0,1,1,1,0,0,1,1,1.0543333333333331,100.3,29.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0
2,<1800,80-85,3,3,0,0,0,0,0,0,2,2,,65.75,35.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2,<1800,85-90,23,16,4,0,1,3,0,2,7,9,0.3234398148148149,80.43333333333334,41.0,69.6,25.0,0.0,11.1,33.3,0.0,22.2,77.8
2,<1800,90-95,1,1,0,0,0,1,0,0,1,1,0.4635,94.9,27.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0
2,<1800,95+,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1800-2000,70-75,1,1,1,0,0,0,0,0,0,0,,,,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1800-2000,75-80,1,1,0,0,0,0,0,0,0,0,,,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1800-2000,80-85,92,54,14,2,9,12,6,5,27,38,0.41688558446003976,80.51315789473684,34.23684210526316,58.7,25.9,5.3,23.7,31.6,15.8,13.2,71.1
2,1800-2000,85-90,162,120,30,0,13,22,17,10,53,80,0.16150531400966184,81.0725,32.7125,74.1,25.0,0.0,16.2,27.5,21.2,12.5,66.2
2,1800-2000,90-95,10,7,1,0,1,1,3,1,2,6,0.2505,83.78333333333333,18.0,70.0,14.3,0.0,16.7,16.7,50.0,16.7,33.3
2,1800-2000,95+,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2000-2200,70-75,1,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2000-2200,75-80,21,14,0,0,4,7,1,4,9,14,0.41108225108225105,80.5,34.214285714285715,66.7,0.0,0.0,28.6,50.0,7.1,28.6,64.3
2,2000-2200,80-85,209,154,34,2,21,48,15,28,70,113,0.37128731701901024,77.95752212389381,31.902654867256636,73.7,22.1,1.8,18.6,42.5,13.3,24.8,61.9
2,2000-2200,85-90,448,315,70,5,59,85,34,56,135,225,0.4022193056592092,82.63688888888889,30.84888888888889,70.3,22.2,2.2,26.2,37.8,15.1,24.9,60.0
2,2000-2200,90-95,69,51,11,0,6,18,7,14,16,37,0.33076814285714284,83.05405405405405,25.64864864864865,73.9,21.6,0.0,16.2,48.6,18.9,37.8,43.2
2,2000-2200,95+,6,6,1,0,0,3,0,1,3,4,0.291,72.45,34.75,100.0,16.7,0.0,0.0,75.0,0.0,25.0,75.0
2,2200-2400,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2200-2400,75-80,7,5,2,0,1,1,1,1,1,3,0.37433333333333335,85.73333333333333,18.333333333333332,71.4,40.0,0.0,33.3,33.3,33.3,33.3,33.3
2,2200-2400,80-85,230,150,35,1,12,37,18,25,62,105,0.28420920484569395,78.0047619047619,31.18095238095238,65.2,23.3,1.0,11.4,35.2,17.1,23.8,59.0
2,2200-2400,85-90,791,555,146,5,80,130,67,81,223,371,0.3504802956765403,81.71832884097034,30.943396226415093,70.2,26.3,1.3,21.6,35.0,18.1,21.8,60.1
2,2200-2400,90-95,222,168,45,0,23,46,18,32,63,113,0.29070822183372186,83.05575221238938,31.424778761061948,75.7,26.8,0.0,20.4,40.7,15.9,28.3,55.8
