zone,spin_bin,velocity_bin,total_pitches,swings,whiffs,barrels,hard_hits,sweet_spots,gbs,lds,fbs,batted_count,avg_xwoba,avg_ev,avg_la,swing_pct,whiff_pct,barrel_pct,hard_hit_pct,sweet_spot_pct,gb_pct,ld_pct,fb_pct
1,<1800,75-80,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,80-85,2,1,1,0,0,0,0,0,0,0,,,,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,85-90,10,3,0,0,0,2,0,2,1,3,0.19733333333333333,81.16666666666667,21.666666666666668,30.0,0.0,0.0,0.0,66.7,0.0,66.7,33.3
1,<1800,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,95+,1,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,75-80,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,80-85,8,4,1,0,1,1,0,1,0,1,0.4856750000000001,102.6,22.0,50.0,25.0,0.0,100.0,100.0,0.0,100.0,0.0
1,1800-2000,85-90,80,34,11,0,4,8,1,7,12,20,0.16997902097902098,82.17,33.8,42.5,32.4,0.0,20.0,40.0,5.0,35.0,60.0
1,1800-2000,90-95,22,13,3,0,2,3,3,1,4,8,0.24700000000000003,86.1125,24.0,59.1,23.1,0.0,25.0,37.5,37.5,12.5,50.0
1,1800-2000,95+,1,1,0,0,0,1,0,1,0,1,,80.1,20.0,100.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
1,1800-2000,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2000-2200,75-80,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2000-2200,80-85,15,10,1,0,2,3,1,3,3,7,0.244,83.12857142857142,30.428571428571427,66.7,10.0,0.0,28.6,42.9,14.3,42.9,42.9
