zone,spin_bin,velocity_bin,total_pitches,swings,whiffs,barrels,hard_hits,sweet_spots,gbs,lds,fbs,batted_count,avg_xwoba,avg_ev,avg_la,swing_pct,whiff_pct,barrel_pct,hard_hit_pct,sweet_spot_pct,gb_pct,ld_pct,fb_pct
1,<1800,75-80,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,80-85,1,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,85-90,6,5,1,0,0,2,0,1,3,4,0.0455,78.4,42.5,83.3,20.0,0.0,0.0,50.0,0.0,25.0,75.0
1,<1800,90-95,1,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,95+,1,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,75-80,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,80-85,5,1,0,0,0,0,0,0,1,1,,68.1,42.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1,1800-2000,85-90,44,22,5,0,4,6,3,3,10,16,0.49506439393939394,76.5125,32.625,50.0,22.7,0.0,25.0,37.5,18.8,18.8,62.5
1,1800-2000,90-95,7,5,0,0,0,1,2,1,1,4,0.21566666666666667,81.85,7.75,71.4,0.0,0.0,0.0,25.0,50.0,25.0,25.0
1,1800-2000,95+,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2000-2200,75-80,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2000-2200,80-85,24,13,2,1,2,4,1,3,7,11,0.5857038327526133,86.3,34.90909090909091,54.2,15.4,9.1,18.2,36.4,9.1,27.3,63.6
1,2000-2200,85-90,249,144,24,1,16,38,19,26,58,103,0.3480434378879757,75.16796116504854,29.097087378640776,57.8,16.7,1.0,15.5,36.9,18.4,25.2,56.3
1,2000-2200,90-95,126,78,21,1,6,18,10,10,30,50,0.3607139851343625,78.05199999999999,32.54,61.9,26.9,2.0,12.0,36.0,20.0,20.0,60.0
1,2000-2200,95+,4,3,0,0,1,1,0,0,3,3,0.11499999999999999,88.36666666666667,45.0,75.0,0.0,0.0,33.3,33.3,0.0,0.0,100.0
1,2200-2400,75-80,1,1,0,0,0,0,0,0,1,1,,64.7,72.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1,2200-2400,80-85,56,36,2,0,6,11,3,8,20,31,0.36730333522727276,80.49677419354839,34.225806451612904,64.3,5.6,0.0,19.4,35.5,9.7,25.8,64.5
1,2200-2400,85-90,499,276,65,1,33,57,33,40,122,195,0.29226760337560376,78.6548717948718,34.53333333333333,55.3,23.6,0.5,16.9,29.2,16.9,20.5,62.6
1,2200-2400,90-95,307,168,34,5,20,43,24,23,74,121,0.2882059677342846,80.10743801652893,33.79338842975206,54.7,20.2,4.1,16.5,35.5,19.8,19.0,61.2
1,2200-2400,95+,33,17,5,0,2,5,2,2,7,11,0.13119999999999998,79.44545454545455,27.0,51.5,29.4,0.0,18.2,45.5,18.2,18.2,63.6
1,2400-2600,75-80,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2400-2600,80-85,56,33,5,0,3,7,3,3,21,27,0.0933076923076923,75.84814814814814,40.44444444444444,58.9,15.2,0.0,11.1,25.9,11.1,11.1,77.8
1,2400-2600,85-90,453,253,70,1,28,64,29,37,101,167,0.29724043723821725,77.95209580838323,32.952095808383234,55.8,27.7,0.6,16.8,38.3,17.4,22.2,60.5
1,2400-2600,90-95,404,247,65,1,32,52,25,37,99,161,0.2721044283793237,81.55155279503106,34.50931677018634,61.1,26.3,0.6,19.9,32.3,15.5,23.0,61.5
1,2400-2600,95+,126,81,27,0,7,18,13,10,24,47,0.20354678125,83.32127659574468,26.127659574468087,64.3,33.3,0.0,14.9,38.3,27.7,21.3,51.1
1,2600-2800,75-80,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2600-2800,80-85,19,12,3,0,1,3,1,1,7,9,0.7297083333333333,80.34444444444445,40.44444444444444,63.2,25.0,0.0,11.1,33.3,11.1,11.1,77.8
