zone,spin_bin,velocity_bin,total_pitches,swings,whiffs,barrels,hard_hits,sweet_spots,gbs,lds,fbs,batted_count,avg_xwoba,avg_ev,avg_la,swing_pct,whiff_pct,barrel_pct,hard_hit_pct,sweet_spot_pct,gb_pct,ld_pct,fb_pct
1,<1800,100+,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,90-92,16,7,1,0,1,2,2,2,2,6,0.17016666666666666,87.89999999999999,14.0,43.8,14.3,0.0,16.7,33.3,33.3,33.3,33.3
1,<1800,92-94,6,3,1,0,1,2,0,2,0,2,0.4155,93.1,19.0,50.0,33.3,0.0,50.0,100.0,0.0,100.0,0.0
1,<1800,94-96,6,5,1,0,1,2,0,0,4,4,0.185,87.7,37.5,83.3,20.0,0.0,25.0,50.0,0.0,0.0,100.0
1,<1800,96-98,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,98-100,1,1,0,0,0,1,0,1,0,1,,84.6,10.0,100.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
1,<1800,<90,20,11,0,0,1,7,1,4,5,10,0.562404761904762,84.61,22.2,55.0,0.0,0.0,10.0,70.0,10.0,40.0,50.0
1,1800-2000,100+,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,90-92,133,66,14,4,12,17,11,10,24,45,0.4604669139603267,85.28888888888889,25.866666666666667,49.6,21.2,8.9,26.7,37.8,24.4,22.2,53.3
1,1800-2000,92-94,79,57,14,1,10,15,6,11,21,38,0.3255217391304348,86.36578947368422,28.55263157894737,72.2,24.6,2.6,26.3,39.5,15.8,28.9,55.3
1,1800-2000,94-96,36,22,4,0,4,8,1,6,10,17,0.2739,88.98235294117647,29.41176470588235,61.1,18.2,0.0,23.5,47.1,5.9,35.3,58.8
1,1800-2000,96-98,7,4,1,0,2,0,3,0,0,3,0.26020000000000004,100.16666666666667,1.3333333333333333,57.1,25.0,0.0,66.7,0.0,100.0,0.0,0.0
1,1800-2000,98-100,1,1,1,0,0,0,0,0,0,0,,,,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,<90,122,38,9,0,5,4,7,3,16,26,0.17523235,81.65384615384616,28.53846153846154,31.1,23.7,0.0,19.2,15.4,26.9,11.5,61.5
1,2000-2200,100+,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2000-2200,90-92,483,252,52,1,50,68,40,45,100,185,0.31063139547232216,84.3291891891892,27.778378378378378,52.2,20.6,0.5,27.0,36.8,21.6,24.3,54.1
1,2000-2200,92-94,537,317,76,1,47,71,40,43,133,216,0.2820897327088323,83.9699074074074,29.26851851851852,59.0,24.0,0.5,21.8,32.9,18.5,19.9,61.6
1,2000-2200,94-96,309,189,59,1,27,43,20,22,77,119,0.19217566965198543,86.5781512605042,31.840336134453782,61.2,31.2,0.8,22.7,36.1,16.8,18.5,64.7
1,2000-2200,96-98,77,47,14,1,3,6,6,3,19,28,0.17925158756395118,79.35714285714286,26.571428571428573,61.0,29.8,3.6,10.7,21.4,21.4,10.7,67.9
1,2000-2200,98-100,12,11,2,0,2,3,3,2,3,8,0.3544857142857144,81.425,2.0,91.7,18.2,0.0,25.0,37.5,37.5,25.0,37.5
1,2000-2200,<90,282,138,21,2,22,31,22,19,64,105,0.33160094901276,81.48095238095237,28.476190476190474,48.9,15.2,1.9,21.0,29.5,21.0,18.1,61.0
1,2200-2400,100+,2,1,1,0,0,0,0,0,0,0,0.0,,,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2200-2400,90-92,535,302,64,2,43,69,35,42,139,216,0.2940324741493886,82.61435185185185,31.52777777777778,56.4,21.2,0.9,19.9,31.9,16.2,19.4,64.4
1,2200-2400,92-94,876,514,124,3,80,118,63,78,214,355,0.27198396773012085,84.48,29.929577464788732,58.7,24.1,0.8,22.5,33.2,17.7,22.0,60.3
1,2200-2400,94-96,740,434,109,1,56,88,52,56,180,288,0.2445925912116553,84.76284722222222,30.350694444444443,58.6,25.1,0.3,19.4,30.6,18.1,19.4,62.5
1,2200-2400,96-98,300,179,39,1,19,39,24,29,69,121,0.17308662728634572,85.40661157024795,26.59016393442623,59.7,21.8,0.8,15.7,32.2,19.8,24.0,57.0
