zone,spin_bin,velocity_bin,total_pitches,swings,whiffs,barrels,hard_hits,sweet_spots,gbs,lds,fbs,batted_count,avg_xwoba,avg_ev,avg_la,swing_pct,whiff_pct,barrel_pct,hard_hit_pct,sweet_spot_pct,gb_pct,ld_pct,fb_pct
1,<1800,100+,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,90-92,30,19,0,0,0,5,3,5,8,16,0.22064137500000003,74.43125,25.75,63.3,0.0,0.0,0.0,31.2,18.8,31.2,50.0
1,<1800,92-94,40,27,5,0,2,6,2,3,17,22,0.25192857142857145,74.81818181818181,38.13636363636363,67.5,18.5,0.0,9.1,27.3,9.1,13.6,77.3
1,<1800,94-96,12,8,1,0,0,2,0,0,4,4,0.0016666666666666668,72.4,47.75,66.7,12.5,0.0,0.0,50.0,0.0,0.0,100.0
1,<1800,96-98,2,1,0,0,0,1,0,1,0,1,0.0,73.6,11.0,50.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
1,<1800,98-100,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,<90,23,10,1,0,2,1,4,0,4,8,0.20259999999999997,79.1625,17.25,43.5,10.0,0.0,25.0,12.5,50.0,0.0,50.0
1,1800-2000,100+,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,90-92,329,238,31,3,26,58,34,35,125,194,0.2527039764309765,76.28144329896908,33.154639175257735,72.3,13.0,1.5,13.4,29.9,17.5,18.0,64.4
1,1800-2000,92-94,296,220,25,3,29,61,40,36,98,174,0.29781175234025237,78.80689655172414,29.396551724137932,74.3,11.4,1.7,16.7,35.1,23.0,20.7,56.3
1,1800-2000,94-96,121,84,9,2,5,25,13,14,41,68,0.24850899199217558,76.26323529411764,30.16176470588235,69.4,10.7,2.9,7.4,36.8,19.1,20.6,60.3
1,1800-2000,96-98,21,18,3,0,2,4,3,2,9,14,0.3387272727272727,78.30714285714285,26.857142857142858,85.7,16.7,0.0,14.3,28.6,21.4,14.3,64.3
1,1800-2000,98-100,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,<90,290,157,23,3,18,43,20,27,80,127,0.3180569880372855,78.90629921259843,34.188976377952756,54.1,14.6,2.4,14.2,33.9,15.7,21.3,63.0
1,2000-2200,100+,1,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2000-2200,90-92,1413,1034,109,11,129,255,146,164,538,848,0.3137087644922945,78.43254716981133,34.87146226415094,73.2,10.5,1.3,15.2,30.1,17.2,19.3,63.4
1,2000-2200,92-94,1453,1067,129,2,107,284,158,188,513,859,0.27391338284096395,77.58195576251454,31.883585564610012,73.4,12.1,0.2,12.5,33.1,18.4,21.9,59.7
