zone,spin_bin,velocity_bin,total_pitches,swings,whiffs,barrels,hard_hits,sweet_spots,gbs,lds,fbs,batted_count,avg_xwoba,avg_ev,avg_la,swing_pct,whiff_pct,barrel_pct,hard_hit_pct,sweet_spot_pct,gb_pct,ld_pct,fb_pct
1,<1800,100+,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,90-92,13,11,2,0,3,2,0,2,5,7,0.42838326585695,91.38571428571429,48.0,84.6,18.2,0.0,42.9,28.6,0.0,28.6,71.4
1,<1800,92-94,29,16,3,1,2,4,1,2,8,11,0.4002649583333333,86.8,36.0,55.2,18.8,9.1,18.2,36.4,9.1,18.2,72.7
1,<1800,94-96,22,17,5,0,3,5,1,2,7,10,0.28623809523809524,92.0,35.0,77.3,29.4,0.0,30.0,50.0,10.0,20.0,70.0
1,<1800,96-98,9,8,2,0,0,1,1,0,4,5,0.023000000000000003,82.38,33.8,88.9,25.0,0.0,0.0,20.0,20.0,0.0,80.0
1,<1800,98-100,3,1,1,0,0,0,0,0,0,0,,,,33.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,<90,10,4,1,0,0,0,0,0,3,3,0.019,78.36666666666666,63.0,40.0,25.0,0.0,0.0,0.0,0.0,0.0,100.0
1,1800-2000,100+,5,3,0,0,0,0,1,0,2,3,0.228,72.3,4.333333333333333,60.0,0.0,0.0,0.0,0.0,33.3,0.0,66.7
1,1800-2000,90-92,274,168,25,2,28,47,23,30,82,135,0.3673906871553664,84.06814814814815,29.525925925925925,61.3,14.9,1.5,20.7,34.8,17.0,22.2,60.7
1,1800-2000,92-94,355,209,43,0,37,56,30,41,84,155,0.33578041762678534,85.39483870967743,28.741935483870968,58.9,20.6,0.0,23.9,36.1,19.4,26.5,54.2
1,1800-2000,94-96,369,257,48,3,45,68,39,44,101,184,0.34226377226692767,86.32771739130435,27.304347826086957,69.6,18.7,1.6,24.5,37.0,21.2,23.9,54.9
1,1800-2000,96-98,148,105,26,1,15,17,12,9,54,75,0.2151492007168459,84.89066666666668,32.053333333333335,70.9,24.8,1.3,20.0,22.7,16.0,12.0,72.0
1,1800-2000,98-100,14,9,2,0,3,1,2,1,4,7,0.18133333333333335,88.74285714285715,34.57142857142857,64.3,22.2,0.0,42.9,14.3,28.6,14.3,57.1
1,1800-2000,<90,151,70,14,1,13,23,5,15,33,53,0.5818752912893601,84.67358490566038,34.43396226415094,46.4,20.0,1.9,24.5,43.4,9.4,28.3,62.3
1,2000-2200,100+,65,50,21,0,6,8,5,5,13,23,0.24182274175824175,89.5391304347826,30.391304347826086,76.9,42.0,0.0,26.1,34.8,21.7,21.7,56.5
1,2000-2200,90-92,1332,764,135,10,135,178,109,115,346,570,0.35063570998586135,84.15228070175439,30.849122807017544,57.4,17.7,1.8,23.7,31.2,19.1,20.2,60.7
1,2000-2200,92-94,2520,1605,395,24,240,386,170,240,684,1094,0.3091168104777155,85.16106032906764,31.09780621572212,63.7,24.6,2.2,21.9,35.3,15.5,21.9,62.5
1,2000-2200,94-96,2492,1699,378,17,270,420,222,269,714,1205,0.2790722234949205,85.72597510373444,29.92116182572614,68.2,22.2,1.4,22.4,34.9,18.4,22.3,59.3
1,2000-2200,96-98,1103,814,217,9,121,208,92,127,322,541,0.2686102667597841,86.59038817005546,29.09611829944547,73.8,26.7,1.7,22.4,38.4,17.0,23.5,59.5
1,2000-2200,98-100,253,201,50,2,28,53,16,41,73,130,0.2916341487448781,86.24769230769232,29.661538461538463,79.4,24.9,1.5,21.5,40.8,12.3,31.5,56.2
1,2000-2200,<90,478,269,48,3,51,68,36,41,126,203,0.3742459168771433,83.50197044334976,30.817733990147783,56.3,17.8,1.5,25.1,33.5,17.7,20.2,62.1
1,2200-2400,100+,92,84,37,1,11,16,4,12,27,43,0.17218715209869115,86.74883720930232,30.837209302325583,91.3,44.0,2.3,25.6,37.2,9.3,27.9,62.8
