zone,spin_bin,velocity_bin,total_pitches,swings,whiffs,barrels,hard_hits,sweet_spots,gbs,lds,fbs,batted_count,avg_xwoba,avg_ev,avg_la,swing_pct,whiff_pct,barrel_pct,hard_hit_pct,sweet_spot_pct,gb_pct,ld_pct,fb_pct
1,<1800,100+,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,90-92,10,5,0,0,1,0,1,0,3,4,0.08433333333333333,90.425,39.5,50.0,0.0,0.0,25.0,0.0,25.0,0.0,75.0
1,<1800,92-94,24,19,2,0,4,4,1,1,14,16,0.27692592592592596,82.39375,39.5625,79.2,10.5,0.0,25.0,25.0,6.2,6.2,87.5
1,<1800,94-96,20,13,4,0,2,3,1,1,6,8,0.53187425,82.925,37.375,65.0,30.8,0.0,25.0,37.5,12.5,12.5,75.0
1,<1800,96-98,8,7,0,0,1,3,0,3,3,6,1.2717833333333333,76.23333333333333,39.333333333333336,87.5,0.0,0.0,16.7,50.0,0.0,50.0,50.0
1,<1800,98-100,2,1,0,0,0,0,1,0,0,1,0.131,54.7,7.0,50.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
1,<1800,<90,10,7,2,1,2,2,0,1,3,4,0.33499999999999996,89.125,34.5,70.0,28.6,25.0,50.0,50.0,0.0,25.0,75.0
1,1800-2000,100+,6,6,0,0,0,2,2,2,1,5,0.074,82.66,6.2,100.0,0.0,0.0,0.0,40.0,40.0,40.0,20.0
1,1800-2000,90-92,142,98,15,2,17,24,10,15,51,76,0.3396714866434378,83.31052631578947,35.828947368421055,69.0,15.3,2.6,22.4,31.6,13.2,19.7,67.1
1,1800-2000,92-94,272,209,35,4,31,61,27,40,97,164,0.34826105820971287,82.64817073170731,33.56707317073171,76.8,16.7,2.4,18.9,37.2,16.5,24.4,59.1
1,1800-2000,94-96,229,177,20,0,20,39,27,24,93,144,0.28247222222222224,78.48263888888889,34.125,77.3,11.3,0.0,13.9,27.1,18.8,16.7,64.6
1,1800-2000,96-98,123,106,10,1,14,27,11,17,61,89,0.25261905665349144,79.33033707865168,34.70786516853933,86.2,9.4,1.1,15.7,30.3,12.4,19.1,68.5
1,1800-2000,98-100,19,17,5,0,0,4,1,3,5,9,0.0,80.6888888888889,37.77777777777778,89.5,29.4,0.0,0.0,44.4,11.1,33.3,55.6
1,1800-2000,<90,98,65,6,4,10,19,10,10,37,57,0.5129566161791396,78.69824561403509,36.3859649122807,66.3,9.2,7.0,17.5,33.3,17.5,17.5,64.9
1,2000-2200,100+,46,35,11,0,1,8,4,7,8,19,0.09244444444444445,76.43157894736842,26.36842105263158,76.1,31.4,0.0,5.3,42.1,21.1,36.8,42.1
1,2000-2200,90-92,806,572,73,7,90,146,66,89,299,454,0.31093268793604595,81.68524229074889,36.58370044052864,71.0,12.8,1.5,19.8,32.2,14.5,19.6,65.9
1,2000-2200,92-94,1766,1316,187,14,181,306,137,197,703,1037,0.30145778216602687,80.14821600771455,36.25361620057859,74.5,14.2,1.4,17.5,29.5,13.2,19.0,67.8
1,2000-2200,94-96,1755,1360,216,9,154,363,153,235,639,1027,0.2860687555238967,80.83534566699123,33.343719571567675,77.5,15.9,0.9,15.0,35.3,14.9,22.9,62.2
1,2000-2200,96-98,759,627,133,4,62,141,68,90,291,449,0.23717711434848465,80.06726057906458,35.03118040089087,82.6,21.2,0.9,13.8,31.4,15.1,20.0,64.8
1,2000-2200,98-100,175,148,35,2,14,29,23,15,61,99,0.22560814126985226,80.4010101010101,31.828282828282827,84.6,23.6,2.0,14.1,29.3,23.2,15.2,61.6
1,2000-2200,<90,328,213,24,6,28,64,26,37,102,165,0.34378504156521605,79.63454545454546,34.04848484848485,64.9,11.3,3.6,17.0,38.8,15.8,22.4,61.8
1,2200-2400,100+,62,56,11,1,6,14,6,9,28,43,0.3190286239495798,77.07209302325582,32.16279069767442,90.3,19.6,2.3,14.0,32.6,14.0,20.9,65.1
1,2200-2400,90-92,1135,804,132,11,118,180,88,127,404,619,0.3399656799631658,81.2675282714055,37.68659127625202,70.8,16.4,1.8,19.1,29.1,14.2,20.5,65.3
1,2200-2400,92-94,3258,2516,425,24,339,602,248,373,1287,1908,0.28660471012082656,80.67735849056604,37.579664570230605,77.2,16.9,1.3,17.8,31.6,13.0,19.5,67.5
1,2200-2400,94-96,3652,2925,587,25,297,640,260,415,1445,2120,0.2478922316952317,80.16707547169811,36.57971698113207,80.1,20.1,1.2,14.0,30.2,12.3,19.6,68.2
1,2200-2400,96-98,2072,1725,386,21,160,382,152,236,806,1194,0.274072178458819,79.85301507537689,36.39949748743719,83.3,22.4,1.8,13.4,32.0,12.7,19.8,67.5
1,2200-2400,98-100,541,463,96,4,32,122,52,76,205,332,0.22651284711131234,79.72951807228915,32.22522522522522,85.6,20.7,1.2,9.6,36.7,15.7,22.9,61.7
1,2200-2400,<90,273,197,38,4,29,37,18,19,97,134,0.2985603582840255,81.35,38.76119402985075,72.2,19.3,3.0,21.6,27.6,13.4,14.2,72.4
1,2400-2600,100+,99,92,26,0,5,23,5,14,39,58,0.21328494623655914,78.75,35.258620689655174,92.9,28.3,0.0,8.6,39.7,8.6,24.1,67.2
1,2400-2600,90-92,326,237,45,0,34,51,19,30,121,170,0.2801361485158966,80.61117647058823,38.76470588235294,72.7,19.0,0.0,20.0,30.0,11.2,17.6,71.2
1,2400-2600,92-94,1375,1056,246,9,106,220,80,132,501,713,0.22589593916618395,79.49214586255259,38.85553997194951,76.8,23.3,1.3,14.9,30.9,11.2,18.5,70.3
1,2400-2600,94-96,2057,1653,356,11,172,379,131,235,772,1137,0.2641365049984432,80.8019349164468,36.30843585237258,80.4,21.5,1.0,15.1,33.3,11.5,20.7,67.9
1,2400-2600,96-98,1337,1118,270,6,107,239,94,150,509,753,0.22392348822961702,80.28804780876494,36.58698539176627,83.6,24.2,0.8,14.2,31.7,12.5,19.9,67.6
1,2400-2600,98-100,472,408,89,1,28,108,30,78,183,291,0.18754928771714957,78.83367697594501,35.11340206185567,86.4,21.8,0.3,9.6,37.1,10.3,26.8,62.9
1,2400-2600,<90,62,44,9,0,5,15,3,9,20,32,0.4053080846560847,82.40625,35.09375,71.0,20.5,0.0,15.6,46.9,9.4,28.1,62.5
1,2600-2800,100+,23,20,8,0,2,2,2,2,5,9,0.1582608695652174,83.07777777777778,39.55555555555556,87.0,40.0,0.0,22.2,22.2,22.2,22.2,55.6
1,2600-2800,90-92,26,17,2,0,2,3,1,1,12,14,0.159,76.22857142857143,47.42857142857143,65.4,11.8,0.0,14.3,21.4,7.1,7.1,85.7
1,2600-2800,92-94,140,112,31,0,8,23,6,17,47,70,0.27501575371803505,79.66285714285713,38.84285714285714,80.0,27.7,0.0,11.4,32.9,8.6,24.3,67.1
1,2600-2800,94-96,246,185,32,2,21,42,15,24,91,130,0.2622043819361598,81.39769230769231,36.60769230769231,75.2,17.3,1.5,16.2,32.3,11.5,18.5,70.0
1,2600-2800,96-98,230,185,49,1,16,41,8,26,88,122,0.1990372795138889,79.83032786885245,41.92622950819672,80.4,26.5,0.8,13.1,33.6,6.6,21.3,72.1
1,2600-2800,98-100,116,98,29,0,3,22,6,17,36,59,0.14903991596638658,78.76101694915253,37.644067796610166,84.5,29.6,0.0,5.1,37.3,10.2,28.8,61.0
1,2600-2800,<90,5,3,1,1,2,2,0,1,1,2,0.857,107.30000000000001,20.0,60.0,33.3,50.0,100.0,100.0,0.0,50.0,50.0
1,2800-3000,100+,1,1,0,0,0,0,0,0,0,0,0.0,,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2800-3000,90-92,1,1,0,0,0,1,0,0,1,1,,74.3,26.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0
1,2800-3000,92-94,4,3,2,0,0,1,0,0,1,1,0.694,74.1,27.0,75.0,66.7,0.0,0.0,100.0,0.0,0.0,100.0
1,2800-3000,94-96,17,14,5,0,2,3,0,3,6,9,0.38833333333333336,83.47777777777777,40.0,82.4,35.7,0.0,22.2,33.3,0.0,33.3,66.7
1,2800-3000,96-98,5,4,1,0,0,1,0,1,2,3,,80.3,43.333333333333336,80.0,25.0,0.0,0.0,33.3,0.0,33.3,66.7
1,2800-3000,98-100,4,2,0,0,1,0,2,0,0,2,,97.45,-23.0,50.0,0.0,0.0,50.0,0.0,100.0,0.0,0.0
1,2800-3000,<90,1,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3000-3200,100+,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3000-3200,90-92,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3000-3200,92-94,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3000-3200,94-96,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3000-3200,96-98,1,1,0,0,1,0,1,0,0,1,0.422,109.1,-2.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0
1,3000-3200,98-100,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3000-3200,<90,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3200+,100+,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3200+,90-92,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3200+,92-94,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3200+,94-96,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3200+,96-98,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3200+,98-100,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3200+,<90,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,<1800,100+,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,<1800,90-92,11,10,0,0,4,3,3,0,6,9,0.2968888888888889,84.95555555555556,28.11111111111111,90.9,0.0,0.0,44.4,33.3,33.3,0.0,66.7
2,<1800,92-94,30,27,7,0,6,7,2,6,11,19,0.1778125,86.88421052631578,34.26315789473684,90.0,25.9,0.0,31.6,36.8,10.5,31.6,57.9
2,<1800,94-96,26,16,3,0,4,7,2,4,7,13,0.35741927083333336,86.03846153846153,26.615384615384617,61.5,18.8,0.0,30.8,53.8,15.4,30.8,53.8
2,<1800,96-98,16,13,4,0,2,5,2,2,4,8,0.3795,85.425,24.625,81.2,30.8,0.0,25.0,62.5,25.0,25.0,50.0
2,<1800,98-100,3,2,0,0,0,2,0,1,1,2,0.553,86.9,20.0,66.7,0.0,0.0,0.0,100.0,0.0,50.0,50.0
2,<1800,<90,8,7,1,0,0,1,0,0,5,5,0.1745,80.4,47.6,87.5,14.3,0.0,0.0,20.0,0.0,0.0,100.0
2,1800-2000,100+,6,6,1,0,0,1,0,1,4,5,,80.03999999999999,40.8,100.0,16.7,0.0,0.0,20.0,0.0,20.0,80.0
2,1800-2000,90-92,210,167,27,4,29,44,23,25,79,127,0.4336561387961512,83.59133858267717,31.401574803149607,79.5,16.2,3.1,22.8,34.6,18.1,19.7,62.2
2,1800-2000,92-94,385,304,52,8,70,86,40,55,139,234,0.4313787081814447,86.7517094017094,30.371794871794872,79.0,17.1,3.4,29.9,36.8,17.1,23.5,59.4
2,1800-2000,94-96,356,285,60,6,58,75,45,47,113,205,0.3591120001661585,88.01609756097561,27.521951219512196,80.1,21.1,2.9,28.3,36.6,22.0,22.9,55.1
2,1800-2000,96-98,175,142,36,0,17,29,13,18,65,96,0.25380174637681163,85.24166666666666,33.520833333333336,81.1,25.4,0.0,17.7,30.2,13.5,18.8,67.7
2,1800-2000,98-100,33,27,6,0,9,6,4,5,8,17,0.2118857142857143,90.75294117647059,23.176470588235293,81.8,22.2,0.0,52.9,35.3,23.5,29.4,47.1
2,1800-2000,<90,113,82,8,0,21,24,18,17,33,68,0.36454382493138815,85.92647058823529,26.352941176470587,72.6,9.8,0.0,30.9,35.3,26.5,25.0,48.5
2,2000-2200,100+,78,66,22,0,7,11,9,5,27,41,0.2432173913043478,86.10731707317073,30.609756097560975,84.6,33.3,0.0,17.1,26.8,22.0,12.2,65.9
2,2000-2200,90-92,1270,976,189,19,194,238,110,140,465,715,0.40176031208416907,85.82853146853147,34.97482517482518,76.9,19.4,2.7,27.1,33.3,15.4,19.6,65.0
2,2000-2200,92-94,2544,1992,374,21,382,481,198,325,948,1471,0.3698299874329014,85.90305914343983,34.39836845683209,78.3,18.8,1.4,26.0,32.7,13.5,22.1,64.4
