zone,spin_bin,velocity_bin,total_pitches,swings,whiffs,barrels,hard_hits,sweet_spots,gbs,lds,fbs,batted_count,avg_xwoba,avg_ev,avg_la,swing_pct,whiff_pct,barrel_pct,hard_hit_pct,sweet_spot_pct,gb_pct,ld_pct,fb_pct
1,<1800,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,75-80,3,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,80-85,5,2,1,0,0,1,0,1,0,1,0.0,68.7,19.0,40.0,50.0,0.0,0.0,100.0,0.0,100.0,0.0
1,<1800,85-90,5,2,0,0,0,1,0,1,1,2,0.1445,81.5,27.5,40.0,0.0,0.0,0.0,50.0,0.0,50.0,50.0
1,<1800,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,70-75,1,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,75-80,13,2,0,0,1,1,0,1,1,2,1.0268222222222223,96.5,29.0,15.4,0.0,0.0,50.0,50.0,0.0,50.0,50.0
1,1800-2000,80-85,18,6,1,0,1,1,1,1,3,5,0.1756814814814815,89.66,36.2,33.3,16.7,0.0,20.0,20.0,20.0,20.0,60.0
1,1800-2000,85-90,3,1,0,0,0,0,0,0,1,1,,62.9,65.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1,1800-2000,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2000-2200,70-75,6,3,1,0,0,1,0,1,1,2,0.1315,76.3,27.0,50.0,33.3,0.0,0.0,50.0,0.0,50.0,50.0
1,2000-2200,75-80,19,4,0,0,2,1,0,1,3,4,1.7365555555555556,90.9,44.75,21.1,0.0,0.0,50.0,25.0,0.0,25.0,75.0
1,2000-2200,80-85,56,15,2,0,3,5,3,3,6,12,0.27744070238095236,86.01666666666667,24.333333333333332,26.8,13.3,0.0,25.0,41.7,25.0,25.0,50.0
1,2000-2200,85-90,16,4,0,0,1,1,0,1,1,2,0.3220357142857143,90.2,25.0,25.0,0.0,0.0,50.0,50.0,0.0,50.0,50.0
1,2000-2200,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2000-2200,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2200-2400,70-75,11,4,0,0,1,2,1,1,2,4,0.887,76.375,4.5,36.4,0.0,0.0,25.0,50.0,25.0,25.0,50.0
1,2200-2400,75-80,67,12,1,0,5,4,5,3,3,10,0.33805555555555555,91.16,10.909090909090908,17.9,8.3,0.0,50.0,40.0,50.0,30.0,30.0
1,2200-2400,80-85,101,28,5,0,4,4,13,3,7,23,0.13842307692307693,84.00869565217391,-0.8260869565217391,27.7,17.9,0.0,17.4,17.4,56.5,13.0,30.4
1,2200-2400,85-90,44,19,6,0,2,7,4,6,3,13,0.34026388888888887,84.25384615384615,9.384615384615385,43.2,31.6,0.0,15.4,53.8,30.8,46.2,23.1
1,2200-2400,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2200-2400,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2400-2600,70-75,6,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2400-2600,75-80,122,29,3,1,6,9,8,3,12,23,0.19319287301587304,84.4304347826087,22.782608695652176,23.8,10.3,4.3,26.1,39.1,34.8,13.0,52.2
1,2400-2600,80-85,151,37,5,1,5,12,6,8,15,29,0.19225962055335968,81.44827586206897,24.655172413793103,24.5,13.5,3.4,17.2,41.4,20.7,27.6,51.7
1,2400-2600,85-90,42,12,1,0,4,4,4,3,4,11,0.2508849056603774,83.65454545454546,15.363636363636363,28.6,8.3,0.0,36.4,36.4,36.4,27.3,36.4
1,2400-2600,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2400-2600,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2600-2800,70-75,6,2,0,0,1,0,1,0,1,2,0.2395,85.9,24.5,33.3,0.0,0.0,50.0,0.0,50.0,0.0,50.0
1,2600-2800,75-80,94,27,0,0,7,8,13,7,5,25,0.38222161965019114,82.488,4.0,28.7,0.0,0.0,28.0,32.0,52.0,28.0,20.0
1,2600-2800,80-85,154,37,3,0,9,11,11,9,13,33,0.23569714945054945,86.96363636363637,19.575757575757574,24.0,8.1,0.0,27.3,33.3,33.3,27.3,39.4
1,2600-2800,85-90,32,13,1,0,3,3,3,2,6,11,0.2255879761904762,83.2090909090909,28.0,40.6,7.7,0.0,27.3,27.3,27.3,18.2,54.5
1,2600-2800,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2600-2800,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2800-3000,70-75,4,1,0,0,0,1,0,1,0,1,0.833,91.4,16.0,25.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
1,2800-3000,75-80,59,17,2,0,3,5,6,2,6,14,0.31132210144927536,87.12142857142858,12.5,28.8,11.8,0.0,21.4,35.7,42.9,14.3,42.9
1,2800-3000,80-85,72,17,0,0,4,4,7,3,7,17,0.33801338888888893,86.0,10.058823529411764,23.6,0.0,0.0,23.5,23.5,41.2,17.6,41.2
1,2800-3000,85-90,21,7,1,0,1,2,3,2,0,5,0.12471428571428571,91.02,0.2,33.3,14.3,0.0,20.0,40.0,60.0,40.0,0.0
1,2800-3000,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2800-3000,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3000-3200,70-75,1,1,0,0,0,0,0,0,1,1,0.056,72.9,57.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1,3000-3200,75-80,16,4,0,0,0,1,1,0,3,4,0.0365,84.3,25.25,25.0,0.0,0.0,0.0,25.0,25.0,0.0,75.0
1,3000-3200,80-85,22,4,1,0,0,0,3,0,0,3,0.22312400000000002,90.0,-3.0,18.2,25.0,0.0,0.0,0.0,100.0,0.0,0.0
1,3000-3200,85-90,5,1,1,0,0,0,0,0,0,0,0.0,,,20.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3000-3200,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3000-3200,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3200+,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3200+,75-80,1,1,0,0,0,0,0,0,0,0,,,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3200+,80-85,1,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3200+,85-90,1,1,0,0,1,0,1,0,0,1,,98.7,-2.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0
1,3200+,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3200+,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,<1800,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,<1800,75-80,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,<1800,80-85,5,4,0,0,0,1,1,1,1,3,,80.33333333333333,30.666666666666668,80.0,0.0,0.0,0.0,33.3,33.3,33.3,33.3
2,<1800,85-90,1,1,0,0,0,1,0,1,0,1,,67.4,17.0,100.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
2,<1800,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,<1800,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1800-2000,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1800-2000,75-80,7,1,0,0,0,1,0,1,0,1,0.89,94.4,14.0,14.3,0.0,0.0,0.0,100.0,0.0,100.0,0.0
2,1800-2000,80-85,14,8,3,0,2,3,2,2,1,5,0.2928,90.78,12.0,57.1,37.5,0.0,40.0,60.0,40.0,40.0,20.0
2,1800-2000,85-90,2,1,0,0,0,1,0,0,1,1,0.489,74.8,28.0,50.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0
2,1800-2000,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1800-2000,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2000-2200,70-75,2,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2000-2200,75-80,15,7,0,0,2,4,0,1,6,7,0.236,80.17142857142858,37.285714285714285,46.7,0.0,0.0,28.6,57.1,0.0,14.3,85.7
