zone,spin_bin,velocity_bin,total_pitches,swings,whiffs,barrels,hard_hits,sweet_spots,gbs,lds,fbs,batted_count,avg_xwoba,avg_ev,avg_la,swing_pct,whiff_pct,barrel_pct,hard_hit_pct,sweet_spot_pct,gb_pct,ld_pct,fb_pct
1,<1800,70-75,1,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,75-80,3,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,80-85,7,4,0,0,0,2,0,0,4,4,0.1865,75.3,38.75,57.1,0.0,0.0,0.0,50.0,0.0,0.0,100.0
1,<1800,85-90,5,3,0,0,0,1,2,0,1,3,0.20766666666666667,73.23333333333333,5.0,60.0,0.0,0.0,0.0,33.3,66.7,0.0,33.3
1,<1800,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,<70,1,1,0,0,0,0,0,0,1,1,0.003,73.6,71.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1,1800-2000,70-75,2,1,0,0,0,0,0,0,1,1,0.376,64.3,41.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1,1800-2000,75-80,10,6,0,0,1,3,3,3,0,6,0.339,79.73333333333333,-10.333333333333334,60.0,0.0,0.0,16.7,50.0,50.0,50.0,0.0
1,1800-2000,80-85,9,2,0,0,2,0,1,0,1,2,0.0915,97.0,23.0,22.2,0.0,0.0,100.0,0.0,50.0,0.0,50.0
1,1800-2000,85-90,6,3,0,0,0,0,1,0,2,3,,71.06666666666666,19.0,50.0,0.0,0.0,0.0,0.0,33.3,0.0,66.7
1,1800-2000,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2000-2200,70-75,3,1,0,0,0,1,0,1,0,1,0.369,75.6,12.0,33.3,0.0,0.0,0.0,100.0,0.0,100.0,0.0
1,2000-2200,75-80,13,1,0,0,0,1,0,0,1,1,0.147,91.9,30.0,7.7,0.0,0.0,0.0,100.0,0.0,0.0,100.0
1,2000-2200,80-85,23,12,2,0,3,4,4,3,3,10,0.5178561320754717,77.74,2.6,52.2,16.7,0.0,30.0,40.0,40.0,30.0,30.0
1,2000-2200,85-90,16,8,1,0,0,1,1,0,4,5,0.198,72.38,38.6,50.0,12.5,0.0,0.0,20.0,20.0,0.0,80.0
1,2000-2200,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2000-2200,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2200-2400,70-75,5,0,0,0,0,0,0,0,0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2200-2400,75-80,37,13,3,0,1,2,3,2,3,8,0.13233333333333333,77.225,14.5,35.1,23.1,0.0,12.5,25.0,37.5,25.0,37.5
1,2200-2400,80-85,63,22,1,0,3,9,3,6,11,20,0.24695472932330828,77.80499999999999,28.05,34.9,4.5,0.0,15.0,45.0,15.0,30.0,55.0
1,2200-2400,85-90,36,19,2,0,1,4,6,4,7,17,0.3085833333333333,76.5,19.11764705882353,52.8,10.5,0.0,5.9,23.5,35.3,23.5,41.2
1,2200-2400,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2200-2400,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2400-2600,70-75,7,3,1,0,0,1,0,1,1,2,0.0975,69.15,30.0,42.9,33.3,0.0,0.0,50.0,0.0,50.0,50.0
1,2400-2600,75-80,79,16,0,1,5,7,6,3,6,15,0.3590710743801653,81.14666666666668,16.066666666666666,20.3,0.0,6.7,33.3,46.7,40.0,20.0,40.0
1,2400-2600,80-85,103,42,2,0,6,16,9,12,16,37,0.27762489285714287,78.14864864864865,24.91891891891892,40.8,4.8,0.0,16.2,43.2,24.3,32.4,43.2
1,2400-2600,85-90,19,10,1,0,1,3,3,2,3,8,0.13249999999999998,74.6125,14.25,52.6,10.0,0.0,12.5,37.5,37.5,25.0,37.5
1,2400-2600,90-95,1,1,0,0,0,1,0,0,1,1,,69.7,30.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0
1,2400-2600,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2600-2800,70-75,2,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2600-2800,75-80,51,16,1,0,4,3,7,2,4,13,0.19336363636363635,81.20769230769231,4.846153846153846,31.4,6.2,0.0,30.8,23.1,53.8,15.4,30.8
1,2600-2800,80-85,79,23,1,0,2,7,8,4,10,22,0.17961904761904762,80.77272727272727,17.5,29.1,4.3,0.0,9.1,31.8,36.4,18.2,45.5
