zone,spin_bin,velocity_bin,total_pitches,swings,whiffs,barrels,hard_hits,sweet_spots,gbs,lds,fbs,batted_count,avg_xwoba,avg_ev,avg_la,swing_pct,whiff_pct,barrel_pct,hard_hit_pct,sweet_spot_pct,gb_pct,ld_pct,fb_pct
1,<1800,80-85,1,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,85-90,27,8,0,1,3,1,3,0,4,7,0.3525795918367348,88.58571428571429,25.0,29.6,0.0,14.3,42.9,14.3,42.9,0.0,57.1
1,<1800,90-95,45,26,1,2,2,6,2,2,20,24,0.13013286713286712,78.14999999999999,39.0,57.8,3.8,8.3,8.3,25.0,8.3,8.3,83.3
1,<1800,95+,3,2,0,0,0,1,1,0,1,2,0.0,66.05,35.5,66.7,0.0,0.0,0.0,50.0,50.0,0.0,50.0
1,1800-2000,80-85,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,85-90,127,56,3,0,8,16,21,12,18,51,0.2623953513513514,77.31960784313726,16.941176470588236,44.1,5.4,0.0,15.7,31.4,41.2,23.5,35.3
1,1800-2000,90-95,448,237,33,1,29,65,40,44,100,184,0.20297642879219455,79.88369565217391,28.304347826086957,52.9,13.9,0.5,15.8,35.3,21.7,23.9,54.3
1,1800-2000,95+,83,31,9,0,2,7,3,5,10,18,0.18494206666666668,79.61111111111111,32.833333333333336,37.3,29.0,0.0,11.1,38.9,16.7,27.8,55.6
1,2000-2200,80-85,1,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2000-2200,85-90,158,70,6,2,7,21,10,13,35,58,0.12515047021943573,75.78448275862068,28.948275862068964,44.3,8.6,3.4,12.1,36.2,17.2,22.4,60.3
1,2000-2200,90-95,1126,569,80,3,66,159,83,110,266,459,0.22575114122685733,78.22265795206971,30.84095860566449,50.5,14.1,0.7,14.4,34.6,18.1,24.0,58.0
1,2000-2200,95+,383,204,35,0,20,50,35,36,76,147,0.23147753858248668,79.02925170068026,28.170068027210885,53.3,17.2,0.0,13.6,34.0,23.8,24.5,51.7
1,2200-2400,80-85,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2200-2400,85-90,50,20,1,0,6,9,5,9,4,18,0.2925238095238095,87.36111111111111,18.833333333333332,40.0,5.0,0.0,33.3,50.0,27.8,50.0,22.2
1,2200-2400,90-95,547,271,40,2,25,66,48,38,123,209,0.2082348154704677,77.70717703349283,27.980861244019138,49.5,14.8,1.0,12.0,31.6,23.0,18.2,58.9
1,2200-2400,95+,312,168,42,1,14,40,21,24,70,115,0.13119393992490613,79.70173913043479,31.37391304347826,53.8,25.0,0.9,12.2,34.8,18.3,20.9,60.9
1,2400-2600,80-85,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2400-2600,85-90,6,4,1,0,0,0,0,0,1,1,,68.4,64.0,66.7,25.0,0.0,0.0,0.0,0.0,0.0,100.0
1,2400-2600,90-95,78,42,4,0,7,5,12,2,20,34,0.2169154135338346,81.50882352941177,29.38235294117647,53.8,9.5,0.0,20.6,14.7,35.3,5.9,58.8
1,2400-2600,95+,122,70,13,0,6,21,12,12,29,53,0.13152173913043477,78.78679245283018,24.60377358490566,57.4,18.6,0.0,11.3,39.6,22.6,22.6,54.7
1,2600-2800,80-85,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2600-2800,85-90,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2600-2800,90-95,6,3,1,0,0,1,0,1,1,2,0.0,85.9,53.0,50.0,33.3,0.0,0.0,50.0,0.0,50.0,50.0
1,2600-2800,95+,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2800-3000,80-85,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2800-3000,85-90,1,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2800-3000,90-95,1,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2800-3000,95+,2,1,0,0,0,0,0,0,1,1,0.0885,67.9,49.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1,3000-3200,80-85,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3000-3200,85-90,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3000-3200,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3000-3200,95+,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3200+,80-85,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3200+,85-90,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
