zone,spin_bin,velocity_bin,total_pitches,swings,whiffs,barrels,hard_hits,sweet_spots,gbs,lds,fbs,batted_count,avg_xwoba,avg_ev,avg_la,swing_pct,whiff_pct,barrel_pct,hard_hit_pct,sweet_spot_pct,gb_pct,ld_pct,fb_pct
1,<1800,75-80,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,80-85,4,1,0,0,1,0,1,0,0,1,0.462,100.5,2.0,25.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0
1,<1800,85-90,21,8,2,0,2,2,2,2,2,6,0.6504262000000001,86.55,13.5,38.1,25.0,0.0,33.3,33.3,33.3,33.3,33.3
1,<1800,90-95,109,49,6,2,12,17,7,8,23,38,0.4067962154745839,89.16315789473684,29.394736842105264,45.0,12.2,5.3,31.6,44.7,18.4,21.1,60.5
1,<1800,95+,41,16,2,1,5,4,8,1,4,13,0.2960585128205128,90.07692307692308,7.538461538461538,39.0,12.5,7.7,38.5,30.8,61.5,7.7,30.8
1,<1800,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,75-80,2,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,80-85,41,23,3,0,4,6,7,3,10,20,0.29411111111111116,81.42,14.65,56.1,13.0,0.0,20.0,30.0,35.0,15.0,50.0
1,1800-2000,85-90,134,75,10,0,13,21,18,16,29,63,0.38150391642069015,83.09365079365078,22.53968253968254,56.0,13.3,0.0,20.6,33.3,28.6,25.4,46.0
1,1800-2000,90-95,690,382,64,1,81,80,74,54,162,289,0.34414319973407886,86.59446366782007,26.97241379310345,55.4,16.8,0.3,28.0,27.7,25.6,18.7,56.1
1,1800-2000,95+,234,135,25,2,27,33,26,18,60,104,0.3381941622340245,87.54038461538462,26.451923076923077,57.7,18.5,1.9,26.0,31.7,25.0,17.3,57.7
1,1800-2000,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2000-2200,75-80,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2000-2200,80-85,13,7,1,1,3,2,2,1,3,6,0.7091985815602836,89.73333333333333,25.833333333333332,53.8,14.3,16.7,50.0,33.3,33.3,16.7,50.0
1,2000-2200,85-90,227,129,20,4,26,30,20,20,58,98,0.40448865614757284,84.34897959183674,25.459183673469386,56.8,15.5,4.1,26.5,30.6,20.4,20.4,59.2
1,2000-2200,90-95,1999,1190,234,14,211,308,186,195,493,874,0.33838469952502265,85.31899313501144,27.505720823798626,59.5,19.7,1.6,24.1,35.2,21.3,22.3,56.4
1,2000-2200,95+,752,479,106,7,83,125,86,81,172,338,0.3679817625943046,86.95502958579881,22.72566371681416,63.7,22.1,2.1,24.6,37.0,25.4,24.0,50.9
1,2000-2200,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2200-2400,75-80,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
