zone,spin_bin,velocity_bin,total_pitches,swings,whiffs,barrels,hard_hits,sweet_spots,gbs,lds,fbs,batted_count,avg_xwoba,avg_ev,avg_la,swing_pct,whiff_pct,barrel_pct,hard_hit_pct,sweet_spot_pct,gb_pct,ld_pct,fb_pct
1,<1800,75-80,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,80-85,5,4,1,0,1,1,2,1,0,3,0.42140625,82.46666666666667,-15.666666666666666,80.0,25.0,0.0,33.3,33.3,66.7,33.3,0.0
1,<1800,85-90,55,36,4,0,0,9,6,7,17,30,0.17373333333333332,70.55333333333333,29.1,65.5,11.1,0.0,0.0,30.0,20.0,23.3,56.7
1,<1800,90-95,141,99,13,0,15,28,31,20,30,81,0.2582174888419074,78.08641975308642,18.333333333333332,70.2,13.1,0.0,18.5,34.6,38.3,24.7,37.0
1,<1800,95+,55,31,3,0,4,6,12,5,9,26,0.36241147619047626,78.76153846153846,10.384615384615385,56.4,9.7,0.0,15.4,23.1,46.2,19.2,34.6
1,1800-2000,75-80,1,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,80-85,37,19,0,0,2,4,5,3,10,18,0.28487500000000004,76.97777777777777,13.11111111111111,51.4,0.0,0.0,11.1,22.2,27.8,16.7,55.6
1,1800-2000,85-90,268,188,13,2,31,52,50,36,81,167,0.3175402343918759,77.63233532934132,22.832335329341316,70.1,6.9,1.2,18.6,31.1,29.9,21.6,48.5
1,1800-2000,90-95,1230,867,81,6,107,241,215,154,361,730,0.2961617051802716,77.50260273972603,22.019178082191782,70.5,9.3,0.8,14.7,33.0,29.5,21.1,49.5
1,1800-2000,95+,445,324,28,2,21,92,83,61,131,275,0.2639875686474306,76.92727272727272,21.512727272727272,72.8,8.6,0.7,7.6,33.5,30.2,22.2,47.6
