zone,spin_bin,velocity_bin,total_pitches,swings,whiffs,barrels,hard_hits,sweet_spots,gbs,lds,fbs,batted_count,avg_xwoba,avg_ev,avg_la,swing_pct,whiff_pct,barrel_pct,hard_hit_pct,sweet_spot_pct,gb_pct,ld_pct,fb_pct
1,<1800,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,75-80,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,80-85,7,2,1,0,0,0,0,0,0,0,0.0,,,28.6,50.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,85-90,4,2,0,1,1,1,1,0,1,2,0.6963611111111111,97.4,12.0,50.0,0.0,50.0,50.0,50.0,50.0,0.0,50.0
1,<1800,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,75-80,2,1,0,0,0,0,0,0,1,1,,77.2,82.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1,1800-2000,80-85,47,16,4,1,4,6,2,3,6,11,0.31593125,82.98181818181818,27.818181818181817,34.0,25.0,9.1,36.4,54.5,18.2,27.3,54.5
1,1800-2000,85-90,31,17,6,1,3,3,5,1,5,11,0.326,83.7909090909091,12.0,54.8,35.3,9.1,27.3,27.3,45.5,9.1,45.5
1,1800-2000,90-95,5,4,0,0,2,2,1,1,2,4,0.2496,89.2,19.0,80.0,0.0,0.0,50.0,50.0,25.0,25.0,50.0
1,1800-2000,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2000-2200,70-75,1,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2000-2200,75-80,11,1,0,0,0,0,0,0,1,1,0.001,90.8,68.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1,2000-2200,80-85,141,61,12,0,7,13,16,9,20,45,0.1800637529137529,79.38888888888889,24.133333333333333,43.3,19.7,0.0,15.6,28.9,35.6,20.0,44.4
1,2000-2200,85-90,149,74,15,0,12,15,16,7,29,52,0.17745,79.48846153846154,21.346153846153847,49.7,20.3,0.0,23.1,28.8,30.8,13.5,55.8
1,2000-2200,90-95,4,3,0,1,1,1,2,0,1,3,0.6183128205128204,91.8,-10.333333333333334,75.0,0.0,33.3,33.3,33.3,66.7,0.0,33.3
1,2000-2200,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2200-2400,70-75,1,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2200-2400,75-80,37,15,7,0,0,0,2,0,6,8,0.036,73.2625,37.0,40.5,46.7,0.0,0.0,0.0,25.0,0.0,75.0
1,2200-2400,80-85,211,94,22,1,15,18,19,11,38,68,0.1861291650411406,81.74852941176471,24.308823529411764,44.5,23.4,1.5,22.1,26.5,27.9,16.2,55.9
1,2200-2400,85-90,252,128,29,2,27,31,28,21,44,93,0.27308626696178406,83.15376344086022,22.64516129032258,50.8,22.7,2.2,29.0,33.3,30.1,22.6,47.3
1,2200-2400,90-95,17,11,2,1,2,3,2,1,5,8,0.4626307692307692,88.08749999999999,27.75,64.7,18.2,12.5,25.0,37.5,25.0,12.5,62.5
1,2200-2400,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2400-2600,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2400-2600,75-80,25,9,3,0,1,2,1,2,3,6,0.3075,67.14999999999999,37.666666666666664,36.0,33.3,0.0,16.7,33.3,16.7,33.3,50.0
1,2400-2600,80-85,197,79,20,0,7,15,18,7,32,57,0.2201419675828048,79.77543859649123,23.31578947368421,40.1,25.3,0.0,12.3,26.3,31.6,12.3,56.1
1,2400-2600,85-90,145,77,21,0,8,11,13,10,28,51,0.2047955552254928,81.18823529411766,24.784313725490197,53.1,27.3,0.0,15.7,21.6,25.5,19.6,54.9
1,2400-2600,90-95,9,7,2,0,1,1,1,1,2,4,0.442,70.925,22.75,77.8,28.6,0.0,25.0,25.0,25.0,25.0,50.0
1,2400-2600,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2600-2800,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2600-2800,75-80,12,7,2,0,0,1,0,0,2,2,0.0575,74.0,35.0,58.3,28.6,0.0,0.0,50.0,0.0,0.0,100.0
1,2600-2800,80-85,77,39,9,2,8,9,9,4,15,28,0.2492941028878529,85.28571428571429,23.107142857142858,50.6,23.1,7.1,28.6,32.1,32.1,14.3,53.6
1,2600-2800,85-90,77,36,6,0,5,9,11,7,10,28,0.30881150550795594,80.72500000000001,11.571428571428571,46.8,16.7,0.0,17.9,32.1,39.3,25.0,35.7
1,2600-2800,90-95,9,4,0,0,0,2,1,2,1,4,0.108,84.525,13.75,44.4,0.0,0.0,0.0,50.0,25.0,50.0,25.0
1,2600-2800,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2800-3000,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2800-3000,75-80,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2800-3000,80-85,17,6,3,0,0,0,1,0,1,2,0.471,73.85,20.5,35.3,50.0,0.0,0.0,0.0,50.0,0.0,50.0
1,2800-3000,85-90,13,5,2,0,1,1,0,1,2,3,0.233,84.8,43.333333333333336,38.5,40.0,0.0,33.3,33.3,0.0,33.3,66.7
1,2800-3000,90-95,2,1,0,0,1,0,1,0,0,1,0.258,104.3,2.0,50.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0
1,2800-3000,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3000-3200,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3000-3200,75-80,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3000-3200,80-85,2,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3000-3200,85-90,1,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3000-3200,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3000-3200,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3200+,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3200+,75-80,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3200+,80-85,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3200+,85-90,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3200+,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3200+,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,<1800,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,<1800,75-80,1,1,0,0,0,0,0,0,1,1,0.003,86.3,44.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2,<1800,80-85,9,6,2,0,2,1,1,1,2,4,0.5036294642857143,92.3,29.0,66.7,33.3,0.0,50.0,25.0,25.0,25.0,50.0
2,<1800,85-90,3,2,0,0,1,0,1,0,1,2,0.5,79.6,-7.5,66.7,0.0,0.0,50.0,0.0,50.0,0.0,50.0
2,<1800,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,<1800,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1800-2000,70-75,1,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1800-2000,75-80,10,6,1,1,1,1,1,0,4,5,0.3876666666666666,75.28,27.8,60.0,16.7,20.0,20.0,20.0,20.0,0.0,80.0
2,1800-2000,80-85,57,34,6,1,5,7,5,3,19,27,0.2679569235588972,80.52222222222223,35.592592592592595,59.6,17.6,3.7,18.5,25.9,18.5,11.1,70.4
2,1800-2000,85-90,42,26,9,0,4,7,1,3,12,16,0.5034432678132679,81.475,38.1875,61.9,34.6,0.0,25.0,43.8,6.2,18.8,75.0
2,1800-2000,90-95,3,2,1,0,0,0,1,0,0,1,0.0,80.4,7.0,66.7,50.0,0.0,0.0,0.0,100.0,0.0,0.0
2,1800-2000,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2000-2200,70-75,2,1,0,0,1,1,0,1,0,1,0.6819999999999999,107.2,17.0,50.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0
2,2000-2200,75-80,39,21,1,0,3,7,4,6,9,19,0.30357142857142855,71.34736842105262,27.68421052631579,53.8,4.8,0.0,15.8,36.8,21.1,31.6,47.4
2,2000-2200,80-85,195,109,14,1,21,29,14,24,49,87,0.35435996404718534,83.1896551724138,31.183908045977013,55.9,12.8,1.1,24.1,33.3,16.1,27.6,56.3
2,2000-2200,85-90,164,97,25,0,16,18,14,13,39,66,0.19449165120593692,81.71969696969697,33.03030303030303,59.1,25.8,0.0,24.2,27.3,21.2,19.7,59.1
2,2000-2200,90-95,11,6,1,0,2,1,1,1,3,5,0.2842994,79.84,24.4,54.5,16.7,0.0,40.0,20.0,20.0,20.0,60.0
2,2000-2200,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2200-2400,70-75,3,0,0,0,0,0,0,0,0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2200-2400,75-80,74,40,5,1,9,9,8,6,16,30,0.45170350370859585,84.56666666666666,29.3,54.1,12.5,3.3,30.0,30.0,26.7,20.0,53.3
2,2200-2400,80-85,303,167,25,2,26,36,30,24,79,133,0.2955071992051841,80.74285714285713,28.669172932330827,55.1,15.0,1.5,19.5,27.1,22.6,18.0,59.4
2,2200-2400,85-90,340,199,38,3,40,43,32,28,86,146,0.306713932200753,84.03904109589041,29.267123287671232,58.5,19.1,2.1,27.4,29.5,21.9,19.2,58.9
2,2200-2400,90-95,21,14,6,0,2,3,3,2,3,8,0.21866666666666668,86.3125,22.875,66.7,42.9,0.0,25.0,37.5,37.5,25.0,37.5
2,2200-2400,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
