zone,spin_bin,velocity_bin,total_pitches,swings,whiffs,barrels,hard_hits,sweet_spots,gbs,lds,fbs,batted_count,avg_xwoba,avg_ev,avg_la,swing_pct,whiff_pct,barrel_pct,hard_hit_pct,sweet_spot_pct,gb_pct,ld_pct,fb_pct
1,<1800,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,75-80,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,80-85,8,7,0,0,2,3,1,2,4,7,0.030333333333333334,75.0,29.285714285714285,87.5,0.0,0.0,28.6,42.9,14.3,28.6,57.1
1,<1800,85-90,4,1,0,0,0,0,0,0,1,1,,69.6,71.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1,<1800,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,75-80,4,3,0,0,1,0,0,0,2,2,0.6144000000000001,78.95,53.0,75.0,0.0,0.0,50.0,0.0,0.0,0.0,100.0
1,1800-2000,80-85,38,21,2,0,3,5,3,3,12,18,0.14000935714285714,75.37222222222222,32.44444444444444,55.3,9.5,0.0,16.7,27.8,16.7,16.7,66.7
1,1800-2000,85-90,63,43,6,0,8,10,13,7,14,34,0.3087642329545454,81.97941176470589,18.529411764705884,68.3,14.0,0.0,23.5,29.4,38.2,20.6,41.2
1,1800-2000,90-95,7,7,0,0,0,2,1,2,4,7,0.06,72.78571428571429,37.714285714285715,100.0,0.0,0.0,0.0,28.6,14.3,28.6,57.1
1,1800-2000,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2000-2200,70-75,3,2,1,0,0,1,0,1,0,1,,57.9,11.0,66.7,50.0,0.0,0.0,100.0,0.0,100.0,0.0
1,2000-2200,75-80,20,7,1,0,1,1,2,0,4,6,0.047999999999999994,74.21666666666667,31.333333333333332,35.0,14.3,0.0,16.7,16.7,33.3,0.0,66.7
1,2000-2200,80-85,120,57,9,0,9,15,12,8,24,44,0.41937048001998,77.32727272727273,23.454545454545453,47.5,15.8,0.0,20.5,34.1,27.3,18.2,54.5
1,2000-2200,85-90,172,108,15,1,15,24,23,15,47,85,0.3037784659060505,76.39294117647059,26.68235294117647,62.8,13.9,1.2,17.6,28.2,27.1,17.6,55.3
1,2000-2200,90-95,14,12,1,0,1,5,1,3,6,10,0.22716666666666666,75.46000000000001,28.3,85.7,8.3,0.0,10.0,50.0,10.0,30.0,60.0
1,2000-2200,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2200-2400,70-75,1,1,0,0,0,0,1,0,0,1,0.269,41.1,-42.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
1,2200-2400,75-80,34,15,2,0,4,4,3,3,7,13,0.24683333333333332,86.74615384615385,28.23076923076923,44.1,13.3,0.0,30.8,30.8,23.1,23.1,53.8
1,2200-2400,80-85,193,125,19,1,13,38,21,22,58,101,0.2521051890721306,75.26336633663367,29.564356435643564,64.8,15.2,1.0,12.9,37.6,20.8,21.8,57.4
1,2200-2400,85-90,299,193,28,0,22,43,46,28,78,152,0.21857272330182806,76.17434210526316,24.61842105263158,64.5,14.5,0.0,14.5,28.3,30.3,18.4,51.3
1,2200-2400,90-95,14,11,0,0,0,3,1,2,6,9,0.061,67.25555555555555,44.44444444444444,78.6,0.0,0.0,0.0,33.3,11.1,22.2,66.7
1,2200-2400,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2400-2600,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2400-2600,75-80,18,9,1,0,0,3,2,2,4,8,0.4922000000000001,71.9,19.125,50.0,11.1,0.0,0.0,37.5,25.0,25.0,50.0
1,2400-2600,80-85,156,91,17,1,12,16,13,11,46,70,0.16961750129198966,78.73285714285714,33.84285714285714,58.3,18.7,1.4,17.1,22.9,18.6,15.7,65.7
1,2400-2600,85-90,189,133,12,3,16,35,35,18,51,104,0.28585162777777773,75.70192307692308,24.85576923076923,70.4,9.0,2.9,15.4,33.7,33.7,17.3,49.0
1,2400-2600,90-95,10,8,0,0,1,3,3,2,3,8,0.19766666666666666,76.6875,17.0,80.0,0.0,0.0,12.5,37.5,37.5,25.0,37.5
1,2400-2600,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2600-2800,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2600-2800,75-80,9,5,1,0,1,1,2,1,1,4,0.8140000000000001,73.175,0.25,55.6,20.0,0.0,25.0,25.0,50.0,25.0,25.0
1,2600-2800,80-85,82,48,7,1,3,9,9,7,20,36,0.1688,70.93055555555556,27.36111111111111,58.5,14.6,2.8,8.3,25.0,25.0,19.4,55.6
1,2600-2800,85-90,119,66,13,2,4,20,12,11,25,48,0.2343926530612245,76.08749999999999,24.9375,55.5,19.7,4.2,8.3,41.7,25.0,22.9,52.1
1,2600-2800,90-95,7,3,2,0,0,0,1,0,0,1,0.091,86.8,-18.0,42.9,66.7,0.0,0.0,0.0,100.0,0.0,0.0
1,2600-2800,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2800-3000,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2800-3000,75-80,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2800-3000,80-85,14,10,1,0,1,2,1,2,6,9,0.01,82.9,37.888888888888886,71.4,10.0,0.0,11.1,22.2,11.1,22.2,66.7
1,2800-3000,85-90,10,6,1,0,2,2,0,1,4,5,0.17866666666666667,81.34,43.6,60.0,16.7,0.0,40.0,40.0,0.0,20.0,80.0
1,2800-3000,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2800-3000,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3000-3200,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3000-3200,75-80,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3000-3200,80-85,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3000-3200,85-90,1,1,1,0,0,0,0,0,0,0,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3000-3200,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3000-3200,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3200+,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3200+,75-80,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3200+,80-85,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3200+,85-90,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3200+,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3200+,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,<1800,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,<1800,75-80,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,<1800,80-85,15,10,1,0,2,0,5,0,3,8,0.16266666666666665,82.2875,4.375,66.7,10.0,0.0,25.0,0.0,62.5,0.0,37.5
2,<1800,85-90,1,1,0,0,1,0,1,0,0,1,0.379,99.3,1.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0
2,<1800,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,<1800,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1800-2000,70-75,2,2,0,0,0,0,0,0,1,1,,60.8,54.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2,1800-2000,75-80,1,1,1,0,0,0,0,0,0,0,,,,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1800-2000,80-85,80,38,8,2,4,16,5,8,17,30,0.3439425366300366,79.74666666666667,28.3,47.5,21.1,6.7,13.3,53.3,16.7,26.7,56.7
2,1800-2000,85-90,60,35,12,1,11,12,5,6,12,23,0.416587758945386,88.72608695652174,26.869565217391305,58.3,34.3,4.3,47.8,52.2,21.7,26.1,52.2
2,1800-2000,90-95,10,7,1,0,1,1,1,0,5,6,0.22999999999999998,83.64999999999999,45.666666666666664,70.0,14.3,0.0,16.7,16.7,16.7,0.0,83.3
2,1800-2000,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2000-2200,70-75,6,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2000-2200,75-80,43,14,2,0,3,5,5,3,4,12,0.3037909663865546,79.27499999999999,10.166666666666666,32.6,14.3,0.0,25.0,41.7,41.7,25.0,33.3
2,2000-2200,80-85,226,117,21,1,14,29,13,18,58,89,0.18434067085953876,79.4247191011236,32.08988764044944,51.8,17.9,1.1,15.7,32.6,14.6,20.2,65.2
2,2000-2200,85-90,295,197,45,2,24,38,34,22,85,141,0.24311050604331466,80.30425531914894,28.907801418439718,66.8,22.8,1.4,17.0,27.0,24.1,15.6,60.3
2,2000-2200,90-95,11,9,5,0,1,2,0,2,2,4,0.244,84.55,31.0,81.8,55.6,0.0,25.0,50.0,0.0,50.0,50.0
2,2000-2200,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2200-2400,70-75,2,2,0,0,0,1,1,1,0,2,0.084,75.95,-6.0,100.0,0.0,0.0,0.0,50.0,50.0,50.0,0.0
2,2200-2400,75-80,66,25,3,0,6,7,3,5,12,20,0.38355555555555554,82.265,36.45,37.9,12.0,0.0,30.0,35.0,15.0,25.0,60.0
2,2200-2400,80-85,342,197,48,4,32,47,23,30,82,135,0.3449380249540195,80.57555555555557,32.7037037037037,57.6,24.4,3.0,23.7,34.8,17.0,22.2,60.7
2,2200-2400,85-90,493,307,82,2,36,65,36,40,126,202,0.23833402862829978,79.99009900990099,32.81683168316832,62.3,26.7,1.0,17.8,32.2,17.8,19.8,62.4
2,2200-2400,90-95,22,18,6,0,1,4,3,3,6,12,0.2952857142857143,77.02499999999999,33.416666666666664,81.8,33.3,0.0,8.3,33.3,25.0,25.0,50.0
