zone,spin_bin,velocity_bin,total_pitches,swings,whiffs,barrels,hard_hits,sweet_spots,gbs,lds,fbs,batted_count,avg_xwoba,avg_ev,avg_la,swing_pct,whiff_pct,barrel_pct,hard_hit_pct,sweet_spot_pct,gb_pct,ld_pct,fb_pct
1,<1800,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,75-80,1,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,80-85,18,5,2,0,1,0,1,0,2,3,0.12233333333333334,85.36666666666667,32.0,27.8,40.0,0.0,33.3,0.0,33.3,0.0,66.7
1,<1800,85-90,31,11,2,0,2,3,1,3,2,6,0.2498901515151515,84.18333333333334,16.5,35.5,18.2,0.0,33.3,50.0,16.7,50.0,33.3
1,<1800,90-95,1,1,1,0,0,0,0,0,0,0,,,,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,95+,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,<70,6,5,0,0,1,3,1,2,2,5,0.22675,83.17999999999999,26.4,83.3,0.0,0.0,20.0,60.0,20.0,40.0,40.0
1,1800-2000,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,75-80,12,3,2,0,0,0,0,0,1,1,,79.1,78.0,25.0,66.7,0.0,0.0,0.0,0.0,0.0,100.0
1,1800-2000,80-85,69,29,12,0,5,6,2,6,8,16,0.20966355866355865,84.65625,35.25,42.0,41.4,0.0,31.2,37.5,12.5,37.5,50.0
1,1800-2000,85-90,88,43,18,0,5,6,7,2,14,23,0.2000880205446727,83.28695652173913,25.17391304347826,48.9,41.9,0.0,21.7,26.1,30.4,8.7,60.9
1,1800-2000,90-95,1,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,95+,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2000-2200,70-75,7,4,0,0,0,0,3,0,0,3,0.077,69.89999999999999,-5.0,57.1,0.0,0.0,0.0,0.0,100.0,0.0,0.0
1,2000-2200,75-80,37,15,4,1,3,5,1,2,8,11,0.42094717365967366,83.65454545454546,30.727272727272727,40.5,26.7,9.1,27.3,45.5,9.1,18.2,72.7
1,2000-2200,80-85,224,76,27,0,4,10,7,7,29,43,0.05678125,79.25813953488372,33.13953488372093,33.9,35.5,0.0,9.3,23.3,16.3,16.3,67.4
1,2000-2200,85-90,322,124,51,2,18,33,15,21,31,67,0.20585252564102566,84.42985074626866,24.82089552238806,38.5,41.1,3.0,26.9,49.3,22.4,31.3,46.3
1,2000-2200,90-95,12,6,0,0,0,1,2,1,1,4,0.05933333333333333,79.375,14.0,50.0,0.0,0.0,0.0,25.0,50.0,25.0,25.0
1,2000-2200,95+,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2000-2200,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2200-2400,70-75,28,23,3,0,1,1,7,0,11,18,0.060076923076923076,78.03333333333333,25.5,82.1,13.0,0.0,5.6,5.6,38.9,0.0,61.1
