zone,spin_bin,velocity_bin,total_pitches,swings,whiffs,barrels,hard_hits,sweet_spots,gbs,lds,fbs,batted_count,avg_xwoba,avg_ev,avg_la,swing_pct,whiff_pct,barrel_pct,hard_hit_pct,sweet_spot_pct,gb_pct,ld_pct,fb_pct
1,<1800,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,75-80,3,1,0,0,0,0,0,0,1,1,,65.9,61.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1,<1800,80-85,15,10,1,0,2,4,1,4,4,9,0.4258148148148148,78.05555555555556,30.333333333333332,66.7,10.0,0.0,22.2,44.4,11.1,44.4,44.4
1,<1800,85-90,35,27,3,0,3,10,5,7,11,23,0.26410164835164834,80.2695652173913,30.17391304347826,77.1,11.1,0.0,13.0,43.5,21.7,30.4,47.8
1,<1800,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,95+,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,<70,5,2,0,0,1,1,1,0,1,2,0.2065,76.55000000000001,15.0,40.0,0.0,0.0,50.0,50.0,50.0,0.0,50.0
1,1800-2000,70-75,1,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,75-80,17,10,3,0,2,0,4,0,3,7,0.144,76.42857142857143,20.428571428571427,58.8,30.0,0.0,28.6,0.0,57.1,0.0,42.9
1,1800-2000,80-85,142,73,7,0,12,16,19,14,27,60,0.2898760162907268,79.69166666666666,25.166666666666668,51.4,9.6,0.0,20.0,26.7,31.7,23.3,45.0
1,1800-2000,85-90,138,81,12,0,8,20,14,12,30,56,0.2323843813387424,74.51428571428572,27.339285714285715,58.7,14.8,0.0,14.3,35.7,25.0,21.4,53.6
1,1800-2000,90-95,5,3,0,0,0,0,1,0,2,3,,77.63333333333334,48.666666666666664,60.0,0.0,0.0,0.0,0.0,33.3,0.0,66.7
1,1800-2000,95+,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,<70,1,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2000-2200,70-75,3,1,0,0,0,0,1,0,0,1,0.131,90.5,-8.0,33.3,0.0,0.0,0.0,0.0,100.0,0.0,0.0
1,2000-2200,75-80,61,29,6,1,4,4,1,2,19,22,0.28772376373626374,83.97727272727273,43.81818181818182,47.5,20.7,4.5,18.2,18.2,4.5,9.1,86.4
1,2000-2200,80-85,399,203,34,2,31,48,29,33,94,156,0.24314673177202092,78.96474358974359,32.19230769230769,50.9,16.7,1.3,19.9,30.8,18.6,21.2,60.3
1,2000-2200,85-90,462,237,39,3,28,65,35,34,108,177,0.2470861340516041,77.12994350282486,29.683615819209038,51.3,16.5,1.7,15.8,36.7,19.8,19.2,61.0
1,2000-2200,90-95,22,12,2,0,3,5,1,3,6,10,0.18833333333333335,79.03,29.8,54.5,16.7,0.0,30.0,50.0,10.0,30.0,60.0
1,2000-2200,95+,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2000-2200,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2200-2400,70-75,18,10,3,0,0,3,1,0,6,7,0.14966666666666664,70.57142857142857,38.714285714285715,55.6,30.0,0.0,0.0,42.9,14.3,0.0,85.7
1,2200-2400,75-80,107,49,4,1,9,12,9,10,22,41,0.23264570279866334,82.77317073170731,34.853658536585364,45.8,8.2,2.4,22.0,29.3,22.0,24.4,53.7
1,2200-2400,80-85,671,329,50,4,41,72,43,47,169,259,0.28803534673851333,77.54787644787645,34.91891891891892,49.0,15.2,1.5,15.8,27.8,16.6,18.1,65.3
1,2200-2400,85-90,943,502,85,0,38,114,70,76,235,381,0.18904040755175847,75.09186351706036,32.805774278215225,53.2,16.9,0.0,10.0,29.9,18.4,19.9,61.7
1,2200-2400,90-95,72,45,8,0,5,10,8,6,21,35,0.1910909090909091,78.20571428571428,34.114285714285714,62.5,17.8,0.0,14.3,28.6,22.9,17.1,60.0
1,2200-2400,95+,1,1,0,0,0,0,0,0,1,1,,73.5,58.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1,2200-2400,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2400-2600,70-75,5,4,1,0,0,1,1,0,1,2,0.09,70.0,11.0,80.0,25.0,0.0,0.0,50.0,50.0,0.0,50.0
1,2400-2600,75-80,78,39,6,0,3,8,5,6,19,30,0.18919999999999998,74.26,37.8,50.0,15.4,0.0,10.0,26.7,16.7,20.0,63.3
1,2400-2600,80-85,701,314,52,4,47,70,50,50,144,244,0.24499677401959952,78.85368852459015,33.13934426229508,44.8,16.6,1.6,19.3,28.7,20.5,20.5,59.0
1,2400-2600,85-90,1011,509,103,7,55,137,54,88,229,371,0.24779214629821156,76.75741239892183,32.62264150943396,50.3,20.2,1.9,14.8,36.9,14.6,23.7,61.7
1,2400-2600,90-95,88,54,17,1,4,21,2,13,19,34,0.26635666274509806,77.59411764705882,34.26470588235294,61.4,31.5,2.9,11.8,61.8,5.9,38.2,55.9
1,2400-2600,95+,4,2,2,0,0,0,0,0,0,0,0.0,,,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2400-2600,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2600-2800,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2600-2800,75-80,20,11,2,0,0,0,3,0,6,9,0.0765,69.13333333333334,28.88888888888889,55.0,18.2,0.0,0.0,0.0,33.3,0.0,66.7
1,2600-2800,80-85,354,173,26,3,18,39,18,24,91,133,0.21404820093616062,77.35864661654136,37.255639097744364,48.9,15.0,2.3,13.5,29.3,13.5,18.0,68.4
1,2600-2800,85-90,502,262,48,1,32,64,31,37,126,194,0.26364401147656036,76.93247422680412,32.79896907216495,52.2,18.3,0.5,16.5,33.0,16.0,19.1,64.9
1,2600-2800,90-95,36,16,4,0,1,3,1,3,7,11,0.18662499999999999,79.73636363636363,34.18181818181818,44.4,25.0,0.0,9.1,27.3,9.1,27.3,63.6
1,2600-2800,95+,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2600-2800,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2800-3000,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2800-3000,75-80,9,1,0,0,0,0,1,0,0,1,0.0385,75.6,-8.0,11.1,0.0,0.0,0.0,0.0,100.0,0.0,0.0
