zone,spin_bin,velocity_bin,total_pitches,swings,whiffs,barrels,hard_hits,sweet_spots,gbs,lds,fbs,batted_count,avg_xwoba,avg_ev,avg_la,swing_pct,whiff_pct,barrel_pct,hard_hit_pct,sweet_spot_pct,gb_pct,ld_pct,fb_pct
1,<1800,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,75-80,1,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,80-85,1,1,1,0,0,0,0,0,0,0,,,,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,85-90,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,75-80,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,80-85,1,1,0,0,0,0,0,0,1,1,,76.4,77.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1,1800-2000,85-90,1,1,0,0,0,0,0,0,1,1,,66.0,75.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1,2000-2200,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2000-2200,75-80,3,1,0,0,0,0,1,0,0,1,0.09,83.6,-7.0,33.3,0.0,0.0,0.0,0.0,100.0,0.0,0.0
1,2000-2200,80-85,4,2,0,0,0,1,0,1,1,2,,62.8,44.0,50.0,0.0,0.0,0.0,50.0,0.0,50.0,50.0
1,2000-2200,85-90,4,2,0,0,0,0,1,0,1,2,0.0545,79.69999999999999,7.5,50.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0
1,2200-2400,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2200-2400,75-80,3,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2200-2400,80-85,18,6,1,0,3,1,1,1,3,5,0.13333333333333333,88.17999999999999,31.6,33.3,16.7,0.0,60.0,20.0,20.0,20.0,60.0
1,2200-2400,85-90,3,1,0,0,0,0,0,0,1,1,,67.1,74.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1,2400-2600,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2400-2600,75-80,1,1,0,0,0,0,0,0,1,1,0.027,85.3,56.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1,2400-2600,80-85,17,5,3,0,0,1,0,0,2,2,0.0,63.95,40.0,29.4,60.0,0.0,0.0,50.0,0.0,0.0,100.0
1,2400-2600,85-90,7,4,0,0,0,1,1,0,3,4,0.053,65.4,29.25,57.1,0.0,0.0,0.0,25.0,25.0,0.0,75.0
1,2600-2800,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2600-2800,75-80,1,1,0,0,0,0,1,0,0,1,,71.3,1.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
1,2600-2800,80-85,8,3,0,0,1,1,1,0,2,3,0.18625,80.66666666666667,31.666666666666668,37.5,0.0,0.0,33.3,33.3,33.3,0.0,66.7
