zone,spin_bin,velocity_bin,total_pitches,swings,whiffs,barrels,hard_hits,sweet_spots,gbs,lds,fbs,batted_count,avg_xwoba,avg_ev,avg_la,swing_pct,whiff_pct,barrel_pct,hard_hit_pct,sweet_spot_pct,gb_pct,ld_pct,fb_pct
1,<1800,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,75-80,19,12,1,0,4,5,3,3,4,10,0.23474642857142855,83.52000000000001,16.4,63.2,8.3,0.0,40.0,50.0,30.0,30.0,40.0
1,<1800,80-85,471,226,37,3,50,60,53,37,90,180,0.3047429818066496,84.17777777777778,21.86111111111111,48.0,16.4,1.7,27.8,33.3,29.4,20.6,50.0
1,<1800,85-90,573,319,37,5,72,83,74,59,131,264,0.3237863914804718,84.45,24.757575757575758,55.7,11.6,1.9,27.3,31.4,28.0,22.3,49.6
1,<1800,90-95,88,47,6,1,9,12,13,7,17,37,0.27148114098124093,83.39729729729729,10.945945945945946,53.4,12.8,2.7,24.3,32.4,35.1,18.9,45.9
1,<1800,95+,1,1,0,0,0,0,0,0,1,1,0.002,85.3,68.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1,<1800,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,75-80,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,80-85,13,5,0,0,0,3,2,0,3,5,0.2046666666666667,77.7,30.0,38.5,0.0,0.0,0.0,60.0,40.0,0.0,60.0
1,1800-2000,85-90,24,13,1,2,5,6,1,2,9,12,0.5482670617816091,87.16666666666667,39.416666666666664,54.2,7.7,16.7,41.7,50.0,8.3,16.7,75.0
1,1800-2000,90-95,11,7,0,0,2,2,4,1,2,7,0.417624,86.31428571428572,4.0,63.6,0.0,0.0,28.6,28.6,57.1,14.3,28.6
1,1800-2000,95+,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2000-2200,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2000-2200,75-80,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2000-2200,80-85,5,3,0,0,0,0,3,0,0,3,0.17350000000000002,72.0,-15.333333333333334,60.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
1,2000-2200,85-90,13,8,1,0,2,2,3,1,2,6,0.263,88.18333333333334,14.333333333333334,61.5,12.5,0.0,33.3,33.3,50.0,16.7,33.3
1,2000-2200,90-95,4,2,1,0,0,1,1,0,0,1,0.542,92.0,9.0,50.0,50.0,0.0,0.0,100.0,100.0,0.0,0.0
1,2000-2200,95+,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2000-2200,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2200-2400,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2200-2400,75-80,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2200-2400,80-85,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2200-2400,85-90,4,3,1,0,1,0,2,0,0,2,0.1335,91.1,-20.0,75.0,33.3,0.0,50.0,0.0,100.0,0.0,0.0
1,2200-2400,90-95,2,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2200-2400,95+,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2200-2400,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2400-2600,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2400-2600,75-80,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2400-2600,80-85,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2400-2600,85-90,2,2,1,0,0,0,0,0,1,1,0.006,89.1,45.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,100.0
1,2400-2600,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2400-2600,95+,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2400-2600,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2600-2800,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2600-2800,75-80,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2600-2800,80-85,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2600-2800,85-90,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2600-2800,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2600-2800,95+,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2600-2800,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2800-3000,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2800-3000,75-80,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2800-3000,80-85,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2800-3000,85-90,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2800-3000,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2800-3000,95+,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2800-3000,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3000-3200,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3000-3200,75-80,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3000-3200,80-85,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3000-3200,85-90,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3000-3200,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3000-3200,95+,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3000-3200,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3200+,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3200+,75-80,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3200+,80-85,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3200+,85-90,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3200+,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3200+,95+,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3200+,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,<1800,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,<1800,75-80,12,8,2,0,0,2,1,1,4,6,0.001,74.2,33.5,66.7,25.0,0.0,0.0,33.3,16.7,16.7,66.7
2,<1800,80-85,244,136,18,4,29,32,39,23,50,112,0.2753072974215327,83.95267857142858,20.053571428571427,55.7,13.2,3.6,25.9,28.6,34.8,20.5,44.6
2,<1800,85-90,308,182,24,3,51,44,45,30,75,150,0.3616418757445506,85.17933333333333,20.253333333333334,59.1,13.2,2.0,34.0,29.3,30.0,20.0,50.0
2,<1800,90-95,52,34,8,1,7,8,11,6,6,23,0.25583824640967495,84.64782608695653,4.608695652173913,65.4,23.5,4.3,30.4,34.8,47.8,26.1,26.1
2,<1800,95+,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,<1800,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1800-2000,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1800-2000,75-80,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1800-2000,80-85,5,1,0,0,0,0,1,0,0,1,0.115,68.6,2.0,20.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2,1800-2000,85-90,14,9,0,0,2,3,1,1,6,8,0.37640909090909086,84.2875,44.125,64.3,0.0,0.0,25.0,37.5,12.5,12.5,75.0
2,1800-2000,90-95,7,4,0,0,0,1,2,1,1,4,0.0,68.85,2.0,57.1,0.0,0.0,0.0,25.0,50.0,25.0,25.0
2,1800-2000,95+,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1800-2000,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2000-2200,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2000-2200,75-80,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2000-2200,80-85,2,2,0,0,1,0,1,0,1,2,0.125,80.9,30.5,100.0,0.0,0.0,50.0,0.0,50.0,0.0,50.0
