zone,spin_bin,velocity_bin,total_pitches,swings,whiffs,barrels,hard_hits,sweet_spots,gbs,lds,fbs,batted_count,avg_xwoba,avg_ev,avg_la,swing_pct,whiff_pct,barrel_pct,hard_hit_pct,sweet_spot_pct,gb_pct,ld_pct,fb_pct
1,<1800,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,75-80,2,1,0,0,0,0,0,0,1,1,,73.0,68.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1,<1800,80-85,2,2,2,0,0,0,0,0,0,0,0.0,,,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,85-90,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,75-80,2,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,80-85,4,3,0,0,1,1,0,1,1,2,0.62585,84.30000000000001,34.5,75.0,0.0,0.0,50.0,50.0,0.0,50.0,50.0
1,1800-2000,85-90,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2000-2200,70-75,15,9,1,1,2,1,1,0,5,6,0.054000000000000006,87.26666666666667,35.5,60.0,11.1,16.7,33.3,16.7,16.7,0.0,83.3
1,2000-2200,75-80,24,18,1,0,1,6,6,4,6,16,0.1656363636363636,74.55625,20.0625,75.0,5.6,0.0,6.2,37.5,37.5,25.0,37.5
1,2000-2200,80-85,20,11,5,0,2,0,1,0,5,6,0.10316666666666667,85.05,45.5,55.0,45.5,0.0,33.3,0.0,16.7,0.0,83.3
1,2000-2200,85-90,2,1,0,0,0,0,0,0,1,1,0.003,69.3,74.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1,2000-2200,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2000-2200,<70,1,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2200-2400,70-75,16,11,2,0,0,0,2,0,7,9,0.014166666666666666,75.02222222222223,37.44444444444444,68.8,18.2,0.0,0.0,0.0,22.2,0.0,77.8
1,2200-2400,75-80,61,39,9,0,7,8,6,7,14,27,0.22503913043478257,84.44814814814815,32.7037037037037,63.9,23.1,0.0,25.9,29.6,22.2,25.9,51.9
1,2200-2400,80-85,72,45,14,1,5,11,7,6,16,29,0.30569152046783626,77.7,26.896551724137932,62.5,31.1,3.4,17.2,37.9,24.1,20.7,55.2
1,2200-2400,85-90,6,3,1,0,0,1,0,1,1,2,0.353,84.75,32.0,50.0,33.3,0.0,0.0,50.0,0.0,50.0,50.0
1,2200-2400,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2200-2400,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2400-2600,70-75,2,2,1,0,0,1,0,1,0,1,0.0,89.9,17.0,100.0,50.0,0.0,0.0,100.0,0.0,100.0,0.0
1,2400-2600,75-80,55,32,7,1,5,7,6,3,15,24,0.2742482456140351,81.79583333333333,27.333333333333332,58.2,21.9,4.2,20.8,29.2,25.0,12.5,62.5
1,2400-2600,80-85,101,57,15,2,6,13,9,10,20,39,0.3299727905013751,79.54615384615386,28.743589743589745,56.4,26.3,5.1,15.4,33.3,23.1,25.6,51.3
1,2400-2600,85-90,6,5,1,0,1,4,0,3,1,4,0.2735,85.475,22.0,83.3,20.0,0.0,25.0,100.0,0.0,75.0,25.0
1,2400-2600,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2400-2600,<70,7,6,1,0,0,0,5,0,0,5,0.089,54.04,-4.8,85.7,16.7,0.0,0.0,0.0,100.0,0.0,0.0
1,2600-2800,70-75,2,1,1,0,0,0,0,0,0,0,,,,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2600-2800,75-80,27,12,2,0,1,1,1,1,8,10,0.174,80.59,44.0,44.4,16.7,0.0,10.0,10.0,10.0,10.0,80.0
1,2600-2800,80-85,77,38,3,0,5,13,11,7,14,32,0.19873369565217391,77.19687499999999,21.375,49.4,7.9,0.0,15.6,40.6,34.4,21.9,43.8
1,2600-2800,85-90,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2600-2800,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2600-2800,<70,5,4,1,0,1,0,0,0,3,3,0.20400000000000001,81.56666666666666,43.333333333333336,80.0,25.0,0.0,33.3,0.0,0.0,0.0,100.0
1,2800-3000,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2800-3000,75-80,11,8,0,0,1,3,3,2,3,8,0.3988,80.0625,19.0,72.7,0.0,0.0,12.5,37.5,37.5,25.0,37.5
1,2800-3000,80-85,44,31,8,0,3,6,4,6,12,22,0.3360890198511166,80.35000000000001,29.954545454545453,70.5,25.8,0.0,13.6,27.3,18.2,27.3,54.5
1,2800-3000,85-90,2,1,1,0,0,0,0,0,0,0,,,,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2800-3000,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2800-3000,<70,1,1,0,0,0,0,0,0,1,1,,52.0,37.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1,3000-3200,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3000-3200,75-80,3,2,0,0,0,0,1,0,1,2,0.28,53.2,-14.5,66.7,0.0,0.0,0.0,0.0,50.0,0.0,50.0
1,3000-3200,80-85,8,4,0,0,0,0,1,0,3,4,0.105,74.925,37.25,50.0,0.0,0.0,0.0,0.0,25.0,0.0,75.0
1,3000-3200,85-90,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3000-3200,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3000-3200,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3200+,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3200+,75-80,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3200+,80-85,1,1,1,0,0,0,0,0,0,0,,,,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3200+,85-90,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3200+,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3200+,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,<1800,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,<1800,75-80,2,1,0,0,0,0,0,0,1,1,,77.4,66.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2,<1800,80-85,1,1,0,0,0,0,0,0,1,1,0.007,80.7,73.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2,<1800,85-90,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,<1800,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,<1800,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1800-2000,70-75,2,2,1,0,0,1,0,1,0,1,0.0,86.8,24.0,100.0,50.0,0.0,0.0,100.0,0.0,100.0,0.0
2,1800-2000,75-80,11,4,2,0,0,1,1,1,0,2,0.135,70.1,-16.0,36.4,50.0,0.0,0.0,50.0,50.0,50.0,0.0
2,1800-2000,80-85,3,3,0,0,0,1,0,1,2,3,0.0795,80.89999999999999,42.666666666666664,100.0,0.0,0.0,0.0,33.3,0.0,33.3,66.7
2,1800-2000,85-90,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1800-2000,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1800-2000,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2000-2200,70-75,17,15,3,0,2,2,1,2,8,11,0.1887142857142857,80.61818181818181,45.27272727272727,88.2,20.0,0.0,18.2,18.2,9.1,18.2,72.7
2,2000-2200,75-80,35,17,4,0,4,6,2,3,7,12,0.4354095687331537,84.25833333333334,34.333333333333336,48.6,23.5,0.0,33.3,50.0,16.7,25.0,58.3
2,2000-2200,80-85,37,23,5,0,5,3,2,1,14,17,0.24095294117647065,84.91176470588235,45.1764705882353,62.2,21.7,0.0,29.4,17.6,11.8,5.9,82.4
2,2000-2200,85-90,2,0,0,0,0,0,0,0,0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2000-2200,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2000-2200,<70,2,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2200-2400,70-75,9,7,3,0,0,1,0,0,4,4,0.008,77.875,51.0,77.8,42.9,0.0,0.0,25.0,0.0,0.0,100.0
2,2200-2400,75-80,88,60,9,3,11,13,5,6,32,43,0.2069415654520918,81.05116279069767,35.325581395348834,68.2,15.0,7.0,25.6,30.2,11.6,14.0,74.4
2,2200-2400,80-85,94,54,14,0,7,8,5,5,26,36,0.17503032036613272,80.41111111111111,39.22222222222222,57.4,25.9,0.0,19.4,22.2,13.9,13.9,72.2
2,2200-2400,85-90,9,8,3,1,1,3,0,1,4,5,0.6686666666666667,87.92,33.2,88.9,37.5,20.0,20.0,60.0,0.0,20.0,80.0
2,2200-2400,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2200-2400,<70,3,3,0,1,1,1,0,0,3,3,0.0095,93.40000000000002,48.0,100.0,0.0,33.3,33.3,33.3,0.0,0.0,100.0
2,2400-2600,70-75,3,2,0,0,0,1,0,0,2,2,0.062,82.6,46.5,66.7,0.0,0.0,0.0,50.0,0.0,0.0,100.0
2,2400-2600,75-80,61,36,8,2,6,10,6,4,17,27,0.4028319444444445,82.61111111111111,24.037037037037038,59.0,22.2,7.4,22.2,37.0,22.2,14.8,63.0
2,2400-2600,80-85,125,76,18,3,15,24,4,15,35,54,0.2681829352967057,83.42592592592592,34.75925925925926,60.8,23.7,5.6,27.8,44.4,7.4,27.8,64.8
2,2400-2600,85-90,4,3,2,0,0,1,0,1,0,1,,72.1,24.0,75.0,66.7,0.0,0.0,100.0,0.0,100.0,0.0
2,2400-2600,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2400-2600,<70,10,6,1,0,2,0,0,0,4,4,0.4991666666666666,84.775,55.25,60.0,16.7,0.0,50.0,0.0,0.0,0.0,100.0
2,2600-2800,70-75,7,6,0,0,2,1,1,1,3,5,0.31067105263157896,88.2,34.8,85.7,0.0,0.0,40.0,20.0,20.0,20.0,60.0
2,2600-2800,75-80,58,22,6,0,3,4,3,3,10,16,0.1925,74.36875,35.5625,37.9,27.3,0.0,18.8,25.0,18.8,18.8,62.5
2,2600-2800,80-85,69,35,9,0,4,8,8,5,13,26,0.13565,77.1923076923077,20.653846153846153,50.7,25.7,0.0,15.4,30.8,30.8,19.2,50.0
2,2600-2800,85-90,1,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2600-2800,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2600-2800,<70,3,1,0,0,0,0,0,0,1,1,,88.2,49.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2,2800-3000,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2800-3000,75-80,23,15,3,0,3,5,1,5,4,10,0.33233854166666665,76.95,29.6,65.2,20.0,0.0,30.0,50.0,10.0,50.0,40.0
2,2800-3000,80-85,45,28,3,0,8,6,5,3,14,22,0.32253054007263926,84.71818181818182,27.954545454545453,62.2,10.7,0.0,36.4,27.3,22.7,13.6,63.6
2,2800-3000,85-90,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2800-3000,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2800-3000,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3000-3200,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3000-3200,75-80,3,1,0,0,0,0,1,0,0,1,,32.3,4.0,33.3,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2,3000-3200,80-85,12,7,2,0,1,0,0,0,3,3,0.12475,85.60000000000001,50.0,58.3,28.6,0.0,33.3,0.0,0.0,0.0,100.0
2,3000-3200,85-90,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3000-3200,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3000-3200,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3200+,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3200+,75-80,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3200+,80-85,3,2,1,0,1,0,0,0,1,1,0.1965,99.6,40.0,66.7,50.0,0.0,100.0,0.0,0.0,0.0,100.0
2,3200+,85-90,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
