zone,spin_bin,velocity_bin,total_pitches,swings,whiffs,barrels,hard_hits,sweet_spots,gbs,lds,fbs,batted_count,avg_xwoba,avg_ev,avg_la,swing_pct,whiff_pct,barrel_pct,hard_hit_pct,sweet_spot_pct,gb_pct,ld_pct,fb_pct
1,<1800,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,75-80,1,1,1,0,0,0,0,0,0,0,,,,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,80-85,1,1,0,0,0,0,1,0,0,1,0.17,90.3,-7.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
1,<1800,85-90,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,75-80,13,5,4,0,0,0,0,0,1,1,0.064,67.8,47.0,38.5,80.0,0.0,0.0,0.0,0.0,0.0,100.0
1,1800-2000,80-85,2,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,85-90,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2000-2200,70-75,1,1,0,0,0,0,0,0,1,1,,70.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1,2000-2200,75-80,22,5,0,0,0,1,0,1,4,5,0.304,74.0,38.2,22.7,0.0,0.0,0.0,20.0,0.0,20.0,80.0
1,2000-2200,80-85,37,12,3,0,0,3,0,1,7,8,0.27281716666666667,77.4,39.0,32.4,25.0,0.0,0.0,37.5,0.0,12.5,87.5
1,2000-2200,85-90,7,2,1,0,0,1,0,1,0,1,0.0,73.9,16.0,28.6,50.0,0.0,0.0,100.0,0.0,100.0,0.0
1,2000-2200,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2000-2200,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2200-2400,70-75,6,2,0,0,0,1,1,1,0,2,0.0,72.1,1.5,33.3,0.0,0.0,0.0,50.0,50.0,50.0,0.0
1,2200-2400,75-80,51,16,0,0,5,5,3,3,8,14,0.26222678571428576,84.60714285714286,24.785714285714285,31.4,0.0,0.0,35.7,35.7,21.4,21.4,57.1
1,2200-2400,80-85,127,43,13,0,6,7,7,5,15,27,0.18084015151515154,84.51111111111112,28.074074074074073,33.9,30.2,0.0,22.2,25.9,25.9,18.5,55.6
1,2200-2400,85-90,26,9,2,1,2,3,2,1,3,6,0.17936549707602337,86.91666666666667,11.833333333333334,34.6,22.2,16.7,33.3,50.0,33.3,16.7,50.0
1,2200-2400,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2200-2400,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2400-2600,70-75,1,1,0,0,1,0,0,0,1,1,0.235,97.4,38.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
1,2400-2600,75-80,119,38,6,0,6,8,7,7,16,30,0.21872193024366937,81.46000000000001,32.1,31.9,15.8,0.0,20.0,26.7,23.3,23.3,53.3
1,2400-2600,80-85,303,93,25,2,10,17,12,10,35,57,0.13506923626901005,78.7877192982456,32.01754385964912,30.7,26.9,3.5,17.5,29.8,21.1,17.5,61.4
1,2400-2600,85-90,48,10,5,0,0,2,0,1,4,5,0.06914970000000001,75.22,43.6,20.8,50.0,0.0,0.0,40.0,0.0,20.0,80.0
1,2400-2600,90-95,1,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2400-2600,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2600-2800,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2600-2800,75-80,114,26,7,2,4,7,3,2,13,18,0.2238101507936508,79.54444444444444,34.166666666666664,22.8,26.9,11.1,22.2,38.9,16.7,11.1,72.2
1,2600-2800,80-85,293,84,28,1,3,17,11,8,32,51,0.13006359265734266,78.50980392156863,27.058823529411764,28.7,33.3,2.0,5.9,33.3,21.6,15.7,62.7
1,2600-2800,85-90,24,10,3,0,1,2,2,1,3,6,0.1879634285714286,76.96666666666665,26.333333333333332,41.7,30.0,0.0,16.7,33.3,33.3,16.7,50.0
1,2600-2800,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2600-2800,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
