zone,spin_bin,velocity_bin,total_pitches,swings,whiffs,barrels,hard_hits,sweet_spots,gbs,lds,fbs,batted_count,avg_xwoba,avg_ev,avg_la,swing_pct,whiff_pct,barrel_pct,hard_hit_pct,sweet_spot_pct,gb_pct,ld_pct,fb_pct
1,<1800,70-75,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,75-80,1,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,80-85,2,1,1,0,0,0,0,0,0,0,,,,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,85-90,1,1,0,0,1,0,1,0,0,1,0.59,105.3,7.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0
1,<1800,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,95+,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,<1800,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,70-75,1,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,75-80,15,8,0,1,2,3,2,1,4,7,0.375,77.54285714285713,19.571428571428573,53.3,0.0,14.3,28.6,42.9,28.6,14.3,57.1
1,1800-2000,80-85,9,6,1,0,1,1,1,1,3,5,0.4915655,74.92,24.4,66.7,16.7,0.0,20.0,20.0,20.0,20.0,60.0
1,1800-2000,85-90,1,1,0,0,0,0,0,0,1,1,0.0,71.6,72.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1,1800-2000,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,95+,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1800-2000,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2000-2200,70-75,3,2,0,0,0,1,0,0,2,2,,77.35,38.0,66.7,0.0,0.0,0.0,50.0,0.0,0.0,100.0
1,2000-2200,75-80,43,13,1,0,4,2,2,0,10,12,0.08955555555555555,80.24166666666666,51.083333333333336,30.2,7.7,0.0,33.3,16.7,16.7,0.0,83.3
1,2000-2200,80-85,61,33,5,1,9,10,1,7,16,24,0.22714070338983047,87.31666666666666,39.083333333333336,54.1,15.2,4.2,37.5,41.7,4.2,29.2,66.7
1,2000-2200,85-90,9,5,1,0,0,0,0,0,3,3,0.020800000000000003,78.53333333333335,65.66666666666667,55.6,20.0,0.0,0.0,0.0,0.0,0.0,100.0
1,2000-2200,90-95,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2000-2200,95+,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2000-2200,<70,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2200-2400,70-75,12,5,2,0,2,0,1,0,2,3,0.233,85.46666666666665,33.666666666666664,41.7,40.0,0.0,66.7,0.0,33.3,0.0,66.7
